Main_PRID,Language,Extracted_PRID,Extracted_Language
1690000,NaN,1689882,English
1690000,NaN,1690697,Hindi
1690000,NaN,1689905,Marathi
1690000,NaN,1689923,Manipuri
1690000,NaN,1689981,Bengali
1690000,NaN,1690427,Punjabi
1690000,NaN,1690066,Odia
1690000,NaN,1689963,Tamil
1690000,NaN,1689976,Telugu
1690000,NaN,1689913,Kannada
1690000,NaN,1690331,Malayalam
1690001,NaN,1689959,English
1690001,NaN,1690051,Bengali
1690001,NaN,1689978,Urdu
1690001,NaN,1690006,Marathi
1690001,NaN,1690141,Hindi
1690001,NaN,1690050,Manipuri
1690001,NaN,1690127,Punjabi
1690001,NaN,1689995,Odia
1690001,NaN,1690019,Tamil
1690002,NaN,1690042,Hindi
1690002,NaN,1690037,Tamil
1690002,NaN,1690088,Urdu
1690002,NaN,1690061,Marathi
1690002,NaN,1690057,Manipuri
1690002,NaN,1690142,Bengali
1690002,NaN,1690924,Assamese
1690002,NaN,1690121,Punjabi
1690002,NaN,1690036,Gujarati
1690002,NaN,1690190,Odia
1690002,NaN,1690203,Telugu
1690002,NaN,1690044,Kannada
1690002,NaN,1690055,Malayalam
1690003,NaN,1690005,Odia
1690003,NaN,1689986,Tamil
1690003,NaN,1689990,Malayalam
1690003,NaN,1690206,Assamese
1690003,NaN,1690033,Bengali
1690003,NaN,1689943,Manipuri
1690003,NaN,1689931,English
1690003,NaN,1689970,Urdu
1690003,NaN,1690074,Hindi
1690003,NaN,1689985,Marathi
1690003,NaN,1690214,Punjabi
1690004,NaN,1689685,English
1690004,NaN,1689960,Urdu
1690004,NaN,1689781,Punjabi
1690004,NaN,1689727,Tamil
1690004,NaN,1689908,Telugu
1690007,NaN,1690047,Telugu
1690007,NaN,1690100,Urdu
1690007,NaN,1690058,Marathi
1690007,NaN,1690080,Hindi
1690007,NaN,1690107,Manipuri
1690007,NaN,1690053,Bengali
1690007,NaN,1690138,Punjabi
1690007,NaN,1690193,Odia
1690007,NaN,1690070,Tamil
1690007,NaN,1690045,Kannada
1690007,NaN,1690308,Malayalam
1690008,NaN,1690222,Urdu
1690008,NaN,1692292,Hindi
1690008,NaN,1690069,Marathi
1690008,NaN,1690311,Manipuri
1690008,NaN,1690133,Punjabi
1690008,NaN,1690076,Tamil
1690009,NaN,1689968,Tamil
1690009,NaN,1689893,English
1690009,NaN,1689965,Urdu
1690009,NaN,1689915,Marathi
1690009,NaN,1690040,Hindi
1690009,NaN,1689926,Manipuri
1690009,NaN,1690137,Punjabi
1690009,NaN,1690309,Malayalam
1690010,NaN,1690298,Urdu
1690010,NaN,1690176,Hindi
1690010,NaN,1690105,Manipuri
1690010,NaN,1690140,Punjabi
1690010,NaN,1690072,Tamil
1690011,NaN,NaN,NaN
1690012,NaN,1690235,Hindi
1690012,NaN,1690228,Urdu
1690012,NaN,1690049,Marathi
1690012,NaN,1690205,Assamese
1690012,NaN,1690219,Punjabi
