Main_PRID,Language,Extracted_PRID,Extracted_Language
1546000,NaN,NaN,NaN
1546001,NaN,NaN,NaN
1546002,NaN,NaN,NaN
1546003,NaN,NaN,NaN
1546004,NaN,NaN,NaN
1546005,NaN,NaN,NaN
1546006,NaN,1545975,English
1546007,NaN,NaN,NaN
1546008,NaN,NaN,NaN
1546009,NaN,NaN,NaN
1546010,NaN,1545975,English
1546010,NaN,1546116,Marathi
1546010,NaN,1546006,Bengali
1546010,NaN,1546019,Gujarati
1546010,NaN,1546028,Tamil
1546010,NaN,1546094,Kannada
1546010,NaN,1546020,Malayalam
1546011,NaN,1545968,English
1546012,NaN,1546018,Malayalam
1546013,NaN,1545978,English
1546013,NaN,1546162,Bengali
1546013,NaN,1546036,Tamil
1546013,NaN,1546017,Malayalam
1546014,NaN,NaN,NaN
1546015,NaN,NaN,NaN
1546016,NaN,NaN,NaN
1546021,NaN,NaN,NaN
1546022,NaN,NaN,NaN
1546023,NaN,NaN,NaN
1546024,NaN,NaN,NaN
1546025,NaN,NaN,NaN
1546026,NaN,NaN,NaN
1546027,NaN,NaN,NaN
1546029,NaN,1545981,English
1546030,NaN,1545980,English
1546031,NaN,NaN,NaN
1546032,NaN,1545764,English
1546032,NaN,1545855,Marathi
1546032,NaN,1545929,Bengali
1546033,NaN,NaN,NaN
1546034,NaN,1545768,English
1546035,NaN,NaN,NaN
1546037,NaN,NaN,NaN
1546038,NaN,NaN,NaN
1546039,NaN,NaN,NaN
1546040,NaN,NaN,NaN
1546041,NaN,NaN,NaN
1546042,NaN,NaN,NaN
1546043,NaN,NaN,NaN
1546044,NaN,1545770,English
1546045,NaN,NaN,NaN
1546046,NaN,NaN,NaN
1546047,NaN,NaN,NaN
1546048,NaN,1545765,English
1546048,NaN,1545825,Marathi
1546048,NaN,1545940,Bengali
1546049,NaN,NaN,NaN
1546050,NaN,NaN,NaN
1546051,NaN,NaN,NaN
1546053,NaN,NaN,NaN
1546054,NaN,1545763,English
1546054,NaN,1545829,Marathi
1546054,NaN,1545942,Bengali
1546055,NaN,NaN,NaN
1546056,NaN,NaN,NaN
1546057,NaN,NaN,NaN
1546058,NaN,NaN,NaN
1546059,NaN,NaN,NaN
1546060,NaN,NaN,NaN
1546061,NaN,1546119,Marathi
1546061,NaN,1546278,Assamese
1546061,NaN,1546364,Bengali
1546061,NaN,1546086,Gujarati
1546061,NaN,1546145,Tamil
1546061,NaN,1546149,Kannada
1546061,NaN,1546104,Malayalam
1546062,NaN,NaN,NaN
1546063,NaN,1546148,Kannada
1546064,NaN,NaN,NaN
1546065,NaN,NaN,NaN
1546066,NaN,NaN,NaN
1546067,NaN,NaN,NaN
