Main_PRID,Language,Extracted_PRID,Extracted_Language
1890000,NaN,1889823,English
1890000,NaN,1889932,Urdu
1890000,NaN,1889877,Hindi
1890000,NaN,1889955,Telugu
1890001,NaN,1889618,Tamil
1890001,NaN,1889734,Telugu
1890001,NaN,1889530,English
1890001,NaN,1889564,Urdu
1890001,NaN,1889562,Marathi
1890001,NaN,1889554,Hindi
1890002,NaN,1889753,Gujarati
1890002,NaN,1889743,English
1890002,NaN,1889838,Urdu
1890002,NaN,1889824,Marathi
1890002,NaN,1889817,Hindi
1890002,NaN,1889934,Assamese
1890002,NaN,1889839,Bengali
1890002,NaN,1889880,Odia
1890002,NaN,1889787,Tamil
1890002,NaN,1889893,Telugu
1890002,NaN,1889890,Kannada
1890003,NaN,1889335,English
1890003,NaN,1889387,Urdu
1890003,NaN,1889395,Hindi
1890003,NaN,1889347,Marathi
1890003,NaN,1889437,Tamil
1890004,NaN,1889782,English
1890004,NaN,1889905,Urdu
1890004,NaN,1889785,Hindi
1890004,NaN,1889918,Marathi
1890004,NaN,1890077,Manipuri
1890004,NaN,1890311,Bengali
1890004,NaN,1891708,Assamese
1890004,NaN,1889885,Gujarati
1890004,NaN,1889946,Odia
1890004,NaN,1889965,Tamil
1890004,NaN,1889989,Telugu
1890004,NaN,1890065,Kannada
1890004,NaN,1890131,Malayalam
1890005,NaN,1890060,Kannada
1890005,NaN,1890219,Urdu
1890005,NaN,1890080,Hindi
1890005,NaN,1890120,Marathi
1890005,NaN,1890016,Tamil
1890005,NaN,1890189,Telugu
1890007,NaN,1889914,English
1890007,NaN,1889920,Urdu
1890007,NaN,1889936,Marathi
1890007,NaN,1889931,Hindi
1890007,NaN,1889939,Gujarati
1890007,NaN,1889940,Tamil
1890007,NaN,1889964,Telugu
1890007,NaN,1889935,Malayalam
1890008,NaN,1889845,English
1890008,NaN,1889927,Urdu
1890008,NaN,1889904,Hindi
1890008,NaN,1889954,Telugu
1890009,NaN,NaN,NaN
1890010,NaN,1889786,English
1890010,NaN,1889869,Urdu
1890010,NaN,1889846,Hindi
1890010,NaN,1889895,Telugu
1890011,NaN,1889973,English
1890011,NaN,1889995,Urdu
1890011,NaN,1889988,Hindi
1890011,NaN,1889992,Marathi
1890011,NaN,1890050,Punjabi
1890011,NaN,1889998,Tamil
