Main_PRID,Language,Extracted_PRID,Extracted_Language
1740000,NaN,1740184,Hindi
1740000,NaN,1740084,Marathi
1740000,NaN,1740359,Punjabi
1740000,NaN,1740115,Gujarati
1740001,NaN,1739882,English
1740001,NaN,1740020,Urdu
1740001,NaN,1739986,Bengali
1740001,NaN,1740074,Punjabi
1740001,NaN,1740030,Telugu
1740001,NaN,1739941,Malayalam
1740002,NaN,NaN,NaN
1740003,NaN,1739888,English
1740003,NaN,1740192,Urdu
1740003,NaN,1739916,Marathi
1740003,NaN,1740126,Punjabi
1740003,NaN,1740165,Kannada
1740004,NaN,NaN,NaN
1740005,NaN,1739902,English
1740005,NaN,1740139,Urdu
1740005,NaN,1739981,Hindi
1740005,NaN,1740025,Marathi
1740005,NaN,1739987,Bengali
1740005,NaN,1740085,Punjabi
1740005,NaN,1740029,Telugu
1740005,NaN,1739974,Kannada
1740005,NaN,1739980,Malayalam
1740006,NaN,1739998,English
1740006,NaN,1740304,Urdu
1740006,NaN,1740095,Hindi
1740006,NaN,1740112,Bengali
1740006,NaN,1740096,Tamil
1740007,NaN,1740028,Telugu
1740007,NaN,1739921,English
1740007,NaN,1740174,Urdu
1740008,NaN,NaN,NaN
1740009,NaN,NaN,NaN
1740010,NaN,NaN,NaN
1740011,NaN,1740048,Marathi
1740011,NaN,1740086,Hindi
1740011,NaN,1740239,Bengali
1740011,NaN,1740300,Punjabi
1740011,NaN,1740105,Telugu
1740012,NaN,1740819,Hindi
1740012,NaN,1740109,Tamil
1740013,NaN,1739962,English
1740014,NaN,1739935,English
1740014,NaN,1740171,Urdu
1740014,NaN,1740080,Punjabi
1740014,NaN,1740045,Tamil
1740015,NaN,1739930,English
1740015,NaN,1740082,Punjabi
1740016,NaN,1739949,English
1740016,NaN,1740078,Punjabi
1740016,NaN,1740051,Tamil
1740017,NaN,1739841,Telugu
1740017,NaN,1739857,Gujarati
1740017,NaN,1739794,Tamil
1740017,NaN,1739900,Kannada
1740017,NaN,1739939,Malayalam
1740017,NaN,1739975,Bengali
1740017,NaN,1739777,English
1740017,NaN,1739812,Hindi
1740017,NaN,1739801,Marathi
1740017,NaN,1739912,Punjabi
1740018,NaN,1739806,English
1740018,NaN,1739926,Bengali
1740018,NaN,1739911,Tamil
1740018,NaN,1739942,Telugu
1740019,NaN,1739965,Malayalam
1740019,NaN,1739880,English
1740019,NaN,1739915,Marathi
1740019,NaN,1740158,Hindi
1740019,NaN,1739976,Bengali
1740019,NaN,1739960,Punjabi
1740021,NaN,1740136,Hindi
1740021,NaN,1740102,Tamil
1740022,NaN,NaN,NaN
1740023,NaN,1740166,Hindi
1740024,NaN,1740138,Hindi
1740024,NaN,1740355,Punjabi
1740026,NaN,1740354,Punjabi
1740026,NaN,1739969,English
1740027,NaN,1739793,English
1740027,NaN,1740265,Urdu
1740027,NaN,1739868,Hindi
1740027,NaN,1739944,Punjabi
1740027,NaN,1739861,Tamil
1740031,NaN,1739905,English
1740031,NaN,1740137,Hindi
1740031,NaN,1740058,Marathi
1740031,NaN,1739989,Bengali
1740031,NaN,1740071,Punjabi
1740032,NaN,1739932,English
1740032,NaN,1740161,Urdu
1740032,NaN,1740079,Hindi
1740032,NaN,1740070,Bengali
