Main_PRID,Language,Extracted_PRID,Extracted_Language
1928000,NaN,1927614,Malayalam
1928000,NaN,1927976,Bengali
1928000,NaN,1928030,Kannada
1928000,NaN,1927378,English
1928000,NaN,1927438,Urdu
1928000,NaN,1927459,Hindi
1928000,NaN,1927476,Marathi
1928000,NaN,1927720,Assamese
1928000,NaN,1928057,Punjabi
1928000,NaN,1927435,Gujarati
1928000,NaN,1927663,Odia
1928000,NaN,1927675,Tamil
1928000,NaN,1928854,Telugu
1928001,NaN,1927234,English
1928001,NaN,1927321,Urdu
1928001,NaN,1927328,Marathi
1928001,NaN,1927327,Hindi
1928001,NaN,1929111,Bengali
1928001,NaN,1927299,Assamese
1928001,NaN,1927410,Punjabi
1928001,NaN,1927310,Gujarati
1928001,NaN,1927344,Odia
1928001,NaN,1927348,Tamil
1928001,NaN,1927407,Telugu
1928001,NaN,1927429,Kannada
1928001,NaN,1927363,Malayalam
1928002,NaN,1927975,English
1928002,NaN,1928014,Urdu
1928002,NaN,1928029,Marathi
1928002,NaN,1928012,Hindi
1928002,NaN,1928009,Manipuri
1928002,NaN,1928630,Bengali
1928002,NaN,1928174,Assamese
1928002,NaN,1928226,Punjabi
1928002,NaN,1928076,Odia
1928002,NaN,1928010,Tamil
1928002,NaN,1928056,Telugu
1928002,NaN,1928077,Kannada
1928002,NaN,1928034,Malayalam
1928003,NaN,1927171,English
1928003,NaN,1927240,Urdu
1928003,NaN,1927267,Marathi
1928003,NaN,1927208,Hindi
1928003,NaN,1927191,Tamil
1928004,NaN,1928360,Telugu
1928004,NaN,1927872,English
1928004,NaN,1927933,Urdu
1928004,NaN,1927873,Hindi
1928004,NaN,1927901,Nepali
1928004,NaN,1928062,Marathi
1928004,NaN,1929278,Manipuri
1928004,NaN,1928550,Bengali
1928004,NaN,1928100,Assamese
1928004,NaN,1928889,Punjabi
1928004,NaN,1927893,Gujarati
1928004,NaN,1928046,Tamil
1928004,NaN,1929372,Kannada
1928004,NaN,1928417,Malayalam
1928005,NaN,1927131,English
1928005,NaN,1927168,Urdu
1928005,NaN,1927179,Marathi
1928005,NaN,1927177,Hindi
1928005,NaN,1927209,Bengali
1928005,NaN,1927388,Assamese
1928005,NaN,1928104,Punjabi
1928005,NaN,1927159,Gujarati
1928005,NaN,1927334,Odia
1928005,NaN,1927268,Tamil
1928005,NaN,1927250,Telugu
1928005,NaN,1927238,Kannada
1928005,NaN,1927173,Malayalam
1928006,NaN,1927510,Marathi
1928006,NaN,1927577,Hindi
1928006,NaN,1927464,English
1928006,NaN,1927865,Urdu
1928006,NaN,1928461,Manipuri
1928006,NaN,1927480,Tamil
1928007,NaN,1927156,English
1928007,NaN,1927229,Urdu
1928007,NaN,1927158,Hindi
1928007,NaN,1927444,Assamese
1928007,NaN,1927451,Bengali
1928007,NaN,1927474,Punjabi
1928007,NaN,1927219,Gujarati
1928007,NaN,1927414,Odia
1928007,NaN,1927335,Tamil
1928007,NaN,1927409,Telugu
1928007,NaN,1928288,Kannada
1928007,NaN,1927374,Malayalam
1928008,NaN,1927919,English
1928008,NaN,1927955,Urdu
1928008,NaN,1927936,Hindi
1928008,NaN,1927935,Marathi
1928008,NaN,1929001,Bengali
1928008,NaN,1928319,Assamese
1928008,NaN,1928225,Punjabi
1928008,NaN,1927932,Gujarati
1928008,NaN,1928981,Odia
1928008,NaN,1927928,Tamil
1928008,NaN,1928087,Telugu
1928008,NaN,1927934,Kannada
1928008,NaN,1927944,Malayalam
1928011,NaN,1927634,English
1928011,NaN,1927647,Urdu
1928011,NaN,1927652,Hindi
1928011,NaN,1927965,Bengali
1928011,NaN,1927719,Assamese
1928011,NaN,1927990,Punjabi
1928011,NaN,1927638,Gujarati
1928011,NaN,1928570,Odia
1928011,NaN,1927674,Tamil
1928011,NaN,1929024,Telugu
1928011,NaN,1929066,Kannada
1928011,NaN,1927702,Malayalam
1928013,NaN,1925635,English
1928013,NaN,1928466,Urdu
1928013,NaN,1925688,Hindi
1928015,NaN,1925373,English
1928015,NaN,1925426,Urdu
1928016,NaN,1925420,English
1928016,NaN,1925457,Urdu
1928016,NaN,1925462,Hindi
1928016,NaN,1925490,Marathi
