Main_PRID,Language,Extracted_PRID,Extracted_Language
1755000,NaN,1755007,Malayalam
1755000,NaN,1754952,English
1755000,NaN,1754961,Urdu
1755000,NaN,1754970,Hindi
1755000,NaN,1755061,Bengali
1755000,NaN,1754963,Manipuri
1755000,NaN,1755149,Punjabi
1755000,NaN,1754956,Gujarati
1755000,NaN,1754989,Tamil
1755000,NaN,1755003,Telugu
1755001,NaN,1754935,English
1755001,NaN,1754967,Urdu
1755001,NaN,1754955,Hindi
1755001,NaN,1754983,Marathi
1755001,NaN,1754959,Manipuri
1755001,NaN,1755074,Bengali
1755001,NaN,1755005,Punjabi
1755001,NaN,1754954,Gujarati
1755001,NaN,1754988,Tamil
1755001,NaN,1755008,Malayalam
1755002,NaN,1753115,English
1755002,NaN,1753204,Hindi
1755002,NaN,1753372,Bengali
1755002,NaN,1753876,Punjabi
1755002,NaN,1753328,Tamil
1755004,NaN,1754960,English
1755004,NaN,1754972,Urdu
1755004,NaN,1754999,Marathi
1755004,NaN,1754979,Hindi
1755004,NaN,1755982,Assamese
1755004,NaN,1755078,Bengali
1755004,NaN,1755019,Manipuri
1755004,NaN,1755145,Punjabi
1755004,NaN,1754965,Gujarati
1755004,NaN,1755139,Odia
1755004,NaN,1754974,Tamil
1755004,NaN,1755042,Kannada
1755004,NaN,1754976,Malayalam
1755006,NaN,1754931,English
1755006,NaN,1754966,Urdu
1755006,NaN,1754985,Marathi
1755006,NaN,1754950,Hindi
1755006,NaN,1754962,Manipuri
1755006,NaN,1755037,Bengali
1755006,NaN,1754995,Punjabi
1755006,NaN,1754953,Gujarati
1755006,NaN,1754987,Tamil
1755006,NaN,1754971,Telugu
1755009,NaN,1755010,Tamil
1755011,NaN,1752976,English
1755011,NaN,1753057,Hindi
1755011,NaN,1753229,Punjabi
1755012,NaN,1754981,English
1755012,NaN,1755043,Hindi
1755012,NaN,1755082,Bengali
1755012,NaN,1755478,Punjabi
1755012,NaN,1755051,Tamil
1755013,NaN,1755033,Urdu
1755013,NaN,1755103,Hindi
1755013,NaN,1755081,Bengali
1755013,NaN,1755610,Punjabi
1755013,NaN,1755054,Tamil
1755014,NaN,1752896,English
1755014,NaN,1752899,Hindi
1755014,NaN,1753016,Bengali
1755014,NaN,1753216,Punjabi
1755015,NaN,1755038,Marathi
1755015,NaN,1755083,Tamil
1755015,NaN,1755067,Telugu
1755015,NaN,1755321,Urdu
1755015,NaN,1755032,Hindi
1755015,NaN,1755079,Bengali
1755015,NaN,1755159,Punjabi
1755015,NaN,1755024,Gujarati
1755015,NaN,1755047,Kannada
1755015,NaN,1755113,Malayalam
1755016,NaN,1755041,Urdu
1755016,NaN,1755057,Hindi
1755016,NaN,1755537,Manipuri
1755016,NaN,1755747,Punjabi
1755016,NaN,1755023,Gujarati
1755016,NaN,1755053,Tamil
1755016,NaN,1755304,Telugu
1755016,NaN,1755114,Malayalam
1755017,NaN,1752824,English
1755017,NaN,1752886,Hindi
1755017,NaN,1752897,Punjabi
1755017,NaN,1752985,Tamil
1755017,NaN,1752964,Telugu
1755018,NaN,1755294,Urdu
1755018,NaN,1755105,Hindi
1755018,NaN,1755573,Bengali
1755018,NaN,1760793,Assamese
1755018,NaN,1755183,Manipuri
1755018,NaN,1755052,Tamil
1755018,NaN,1755245,Telugu
1755020,NaN,1754756,English
1755020,NaN,1754768,Urdu
1755020,NaN,1754780,Hindi
1755020,NaN,1754782,Marathi
1755020,NaN,1755974,Assamese
1755020,NaN,1754861,Manipuri
1755020,NaN,1754814,Punjabi
1755020,NaN,1754764,Gujarati
1755020,NaN,1754895,Odia
1755020,NaN,1754795,Tamil
1755020,NaN,1754785,Telugu
1755020,NaN,1754781,Kannada
1755020,NaN,1754775,Malayalam
1755021,NaN,1755315,Urdu
1755021,NaN,1755076,Hindi
1755021,NaN,1755205,Marathi
1755021,NaN,1755210,Bengali
1755021,NaN,1755154,Punjabi
1755021,NaN,1755163,Tamil
1755022,NaN,1754345,English
1755022,NaN,1754496,Urdu
1755022,NaN,1754614,Hindi
1755022,NaN,1754533,Punjabi
1755025,NaN,1754969,English
1755025,NaN,1754978,Gujarati
1755025,NaN,1754984,Urdu
1755025,NaN,1755153,Punjabi
1755025,NaN,1754980,Tamil
1755025,NaN,1755093,Telugu
1755026,NaN,1752859,English
1755026,NaN,1752978,Hindi
1755026,NaN,1753021,Bengali
1755026,NaN,1753003,Punjabi
1755026,NaN,1752989,Telugu
1755027,NaN,1754957,English
1755027,NaN,1754982,Urdu
1755027,NaN,1754996,Hindi
1755027,NaN,1755039,Bengali
1755027,NaN,1755150,Punjabi
1755027,NaN,1755028,Tamil
1755027,NaN,1755301,Telugu
1755027,NaN,1755044,Kannada
1755027,NaN,1755111,Malayalam
1755029,NaN,1755353,Odia
1755029,NaN,1755045,Urdu
1755029,NaN,1755058,Marathi
1755029,NaN,1755073,Hindi
1755029,NaN,1755208,Bengali
1755029,NaN,1755178,Manipuri
1755029,NaN,1755146,Punjabi
1755029,NaN,1755036,Gujarati
1755029,NaN,1755060,Tamil
1755029,NaN,1755135,Telugu
1755029,NaN,1755055,Kannada
1755029,NaN,1755066,Malayalam
1755030,NaN,1755031,Urdu
1755030,NaN,1754993,English
1755030,NaN,1755040,Bengali
1755030,NaN,1755193,Punjabi
1755030,NaN,1755048,Tamil
1755034,NaN,NaN,NaN
1755035,NaN,1755037,Bengali
1755046,NaN,1755120,Marathi
1755049,NaN,1755323,Urdu
1755049,NaN,1755100,Marathi
1755049,NaN,1755233,Hindi
1755049,NaN,1755191,Punjabi
1755049,NaN,1755194,Tamil
1755056,NaN,1755300,Urdu
1755056,NaN,1755126,Hindi
1755056,NaN,1755168,Marathi
1755056,NaN,1755226,Bengali
1755056,NaN,1755196,Tamil
1755056,NaN,1755298,Telugu
1755059,NaN,1755129,Telugu
1755062,NaN,1755334,Urdu
1755062,NaN,1755128,Marathi
1755062,NaN,1755069,Hindi
1755062,NaN,1755180,Manipuri
1755062,NaN,1755213,Bengali
1755062,NaN,1755172,Punjabi
1755062,NaN,1755109,Gujarati
1755062,NaN,1755238,Odia
1755062,NaN,1755140,Tamil
1755062,NaN,1755252,Telugu
1755062,NaN,1755115,Kannada
1755062,NaN,1755130,Malayalam
1755063,NaN,1755333,Urdu
1755063,NaN,1755131,Marathi
1755063,NaN,1755080,Hindi
1755063,NaN,1755216,Bengali
1755063,NaN,1755176,Punjabi
1755063,NaN,1755112,Gujarati
1755063,NaN,1755237,Odia
1755063,NaN,1755251,Telugu
1755063,NaN,1755117,Kannada
1755063,NaN,1755132,Malayalam
1755063,NaN,1755133,Malayalam
1755064,NaN,1755989,Assamese
1755064,NaN,1755167,Urdu
1755064,NaN,1755143,Marathi
1755064,NaN,1755077,Hindi
1755064,NaN,1755209,Bengali
1755064,NaN,1755179,Manipuri
1755064,NaN,1755148,Punjabi
1755064,NaN,1755084,Gujarati
1755064,NaN,1755125,Odia
1755064,NaN,1755101,Tamil
1755064,NaN,1755136,Telugu
1755064,NaN,1755106,Kannada
1755064,NaN,1755089,Malayalam
1755065,NaN,1755173,Urdu
1755065,NaN,1755144,Marathi
1755065,NaN,1755075,Hindi
1755065,NaN,1755212,Bengali
1755065,NaN,1755177,Punjabi
1755065,NaN,1755085,Gujarati
1755065,NaN,1755127,Odia
1755065,NaN,1755137,Telugu
1755065,NaN,1755107,Kannada
1755065,NaN,1755090,Malayalam
1755068,NaN,1755071,Tamil
1755070,NaN,1755250,Urdu
1755070,NaN,1755141,Hindi
1755070,NaN,1755203,Tamil
1755070,NaN,1755288,Telugu
1755072,NaN,NaN,NaN
1755086,NaN,1755336,Urdu
1755086,NaN,1755158,Marathi
1755086,NaN,1755091,Hindi
1755086,NaN,1755988,Assamese
