Main_PRID,Language,Extracted_PRID,Extracted_Language
1775000,NaN,1774952,English
1775000,NaN,1775002,Urdu
1775000,NaN,1775018,Hindi
1775000,NaN,1775065,Bengali
1775000,NaN,1775150,Tamil
1775000,NaN,1775280,Telugu
1775001,NaN,1774717,English
1775003,NaN,1775152,Urdu
1775003,NaN,1775102,Hindi
1775003,NaN,1775171,Bengali
1775004,NaN,NaN,NaN
1775005,NaN,1775032,Marathi
1775006,NaN,1774948,English
1775006,NaN,1775026,Urdu
1775006,NaN,1775030,Hindi
1775006,NaN,1774970,Marathi
1775006,NaN,1775040,Punjabi
1775006,NaN,1774976,Tamil
1775006,NaN,1775010,Telugu
1775006,NaN,1774987,Malayalam
1775007,NaN,1775105,Urdu
1775007,NaN,1775070,Marathi
1775007,NaN,1775056,Hindi
1775007,NaN,1775130,Manipuri
1775007,NaN,1775170,Bengali
1775007,NaN,1775178,Punjabi
1775007,NaN,1775060,Gujarati
1775007,NaN,1775185,Odia
1775007,NaN,1775098,Tamil
1775007,NaN,1775300,Telugu
1775007,NaN,1775068,Kannada
1775007,NaN,1775050,Malayalam
1775008,NaN,1774850,English
1775008,NaN,1774949,Urdu
1775009,NaN,1775058,Marathi
1775009,NaN,1775088,Hindi
1775009,NaN,1775124,Tamil
1775009,NaN,1775041,Malayalam
1775011,NaN,1775147,Telugu
1775011,NaN,1774984,English
1775011,NaN,1775079,Hindi
1775012,NaN,1774960,English
1775012,NaN,1775286,Urdu
1775012,NaN,1774989,Hindi
1775012,NaN,1774997,Bengali
1775012,NaN,1775215,Punjabi
1775013,NaN,1775148,Tamil
1775013,NaN,1774954,English
1775013,NaN,1774968,Urdu
1775013,NaN,1774993,Hindi
1775013,NaN,1774979,Marathi
1775013,NaN,1775067,Bengali
1775013,NaN,1775221,Punjabi
1775013,NaN,1774971,Gujarati
1775014,NaN,1774975,English
1775014,NaN,1774995,Urdu
1775014,NaN,1775071,Hindi
1775014,NaN,1775175,Punjabi
1775014,NaN,1775044,Tamil
1775015,NaN,1775107,Urdu
1775015,NaN,1775062,Marathi
1775015,NaN,1775085,Hindi
1775015,NaN,1775173,Punjabi
1775015,NaN,1775285,Telugu
1775016,NaN,1774946,Urdu
1775016,NaN,1774846,English
1775016,NaN,1774928,Hindi
