Main_PRID,Language,Extracted_PRID,Extracted_Language
1555000,NaN,NaN,NaN
1555001,NaN,NaN,NaN
1555002,NaN,NaN,NaN
1555003,NaN,NaN,NaN
1555004,NaN,1554933,English
1555004,NaN,1555035,Marathi
1555004,NaN,1555120,Bengali
1555005,NaN,1554934,English
1555006,NaN,1555102,Malayalam
1555006,NaN,1554952,English
1555006,NaN,1555132,Urdu
1555006,NaN,1555116,Marathi
1555006,NaN,1555175,Bengali
1555006,NaN,1555317,Assamese
1555006,NaN,1555014,Gujarati
1555006,NaN,1555353,Kannada
1555007,NaN,1554954,English
1555007,NaN,1555140,Urdu
1555007,NaN,1555355,Kannada
1555008,NaN,NaN,NaN
1555009,NaN,1554940,English
1555009,NaN,1555369,Kannada
1555010,NaN,1554943,English
1555010,NaN,1555030,Urdu
1555010,NaN,1555034,Marathi
1555010,NaN,1555049,Assamese
1555010,NaN,1555176,Bengali
1555010,NaN,1555015,Gujarati
1555010,NaN,1555363,Kannada
1555010,NaN,1555099,Malayalam
1555011,NaN,1554944,English
1555011,NaN,1555046,Urdu
1555011,NaN,1555364,Kannada
1555012,NaN,1554962,English
1555012,NaN,1555129,Hindi
1555012,NaN,1555347,Kannada
1555013,NaN,1555081,Malayalam
1555013,NaN,1554960,English
1555013,NaN,1555128,Hindi
1555013,NaN,1555115,Marathi
1555013,NaN,1555208,Bengali
1555013,NaN,1555313,Assamese
1555013,NaN,1555346,Kannada
1555016,NaN,1554935,English
1555016,NaN,1555037,Marathi
1555016,NaN,1555326,Assamese
1555016,NaN,1555212,Bengali
1555016,NaN,1554999,Tamil
1555016,NaN,1555370,Kannada
1555016,NaN,1555096,Malayalam
1555017,NaN,1554966,English
1555017,NaN,1555134,Urdu
1555017,NaN,1555113,Marathi
1555017,NaN,1555166,Bengali
1555017,NaN,1555042,Assamese
1555017,NaN,1555052,Gujarati
1555017,NaN,1555090,Tamil
1555017,NaN,1555107,Malayalam
1555018,NaN,1554967,English
1555018,NaN,1555136,Urdu
1555018,NaN,1555089,Tamil
1555019,NaN,1555104,Malayalam
1555019,NaN,1554963,English
1555019,NaN,1555135,Urdu
1555019,NaN,1555063,Marathi
1555019,NaN,1555123,Bengali
1555019,NaN,1555323,Assamese
1555019,NaN,1555025,Tamil
1555019,NaN,1555152,Kannada
1555020,NaN,1554957,English
1555020,NaN,1555352,Kannada
1555021,NaN,1554955,English
1555021,NaN,1555114,Marathi
1555021,NaN,1555169,Bengali
1555021,NaN,1555316,Assamese
1555021,NaN,1555050,Gujarati
1555021,NaN,1555350,Kannada
1555021,NaN,1555103,Malayalam
1555022,NaN,1555205,Urdu
1555022,NaN,1555173,Hindi
1555022,NaN,1555125,Marathi
1555022,NaN,1555293,Tamil
1555023,NaN,1554969,English
1555023,NaN,1555029,Urdu
1555023,NaN,1555062,Marathi
1555023,NaN,1555168,Bengali
1555023,NaN,1555320,Assamese
1555023,NaN,1555048,Gujarati
1555023,NaN,1555342,Kannada
1555023,NaN,1555106,Malayalam
1555024,NaN,1554970,English
1555024,NaN,1555045,Urdu
1555024,NaN,1555343,Kannada
1555026,NaN,1554964,English
1555026,NaN,1555133,Urdu
1555026,NaN,1555153,Kannada
1555027,NaN,1554973,English
1555028,NaN,1554961,English
1555028,NaN,1555039,Marathi
1555028,NaN,1555210,Bengali
1555028,NaN,1555312,Assamese
1555028,NaN,1555036,Gujarati
1555028,NaN,1555074,Tamil
1555028,NaN,1555344,Kannada
1555031,NaN,1554939,English
1555031,NaN,1555177,Marathi
1555031,NaN,1555172,Bengali
1555031,NaN,1555319,Assamese
1555031,NaN,1555008,Tamil
1555031,NaN,1555368,Kannada
1555031,NaN,1555098,Malayalam
1555032,NaN,1554937,English
1555032,NaN,1555186,Bengali
1555032,NaN,1555324,Assamese
1555032,NaN,1555065,Gujarati
1555032,NaN,1555073,Tamil
1555032,NaN,1555143,Kannada
1555032,NaN,1555082,Malayalam
1555033,NaN,1554947,English
1555033,NaN,1557332,Assamese
1555033,NaN,1555188,Bengali
1555033,NaN,1555043,Gujarati
1555033,NaN,1555077,Tamil
1555033,NaN,1555146,Kannada
1555033,NaN,1555091,Malayalam
1555038,NaN,1554945,English
1555038,NaN,1555184,Bengali
1555038,NaN,1557156,Assamese
1555038,NaN,1555040,Gujarati
1555038,NaN,1555076,Tamil
1555038,NaN,1555361,Kannada
1555038,NaN,1555093,Malayalam
1555041,NaN,1555204,Urdu
1555041,NaN,1555127,Hindi
1555044,NaN,1555101,Malayalam
1555044,NaN,1555141,Marathi
1555044,NaN,1554949,English
1555044,NaN,1555171,Bengali
1555044,NaN,1555079,Tamil
1555044,NaN,1555356,Kannada
1555047,NaN,1554959,English
1555047,NaN,1555345,Kannada
1555047,NaN,1555097,Malayalam
1555051,NaN,1551160,English
1555051,NaN,1552460,Marathi
1555051,NaN,1551710,Hindi
1555051,NaN,1551255,Bengali
1555051,NaN,1551271,Tamil
1555051,NaN,1554511,Kannada
1555053,NaN,1554582,Assamese
1555053,NaN,1533597,English
1555053,NaN,1533667,Urdu
1555053,NaN,1534118,Marathi
1555053,NaN,1533958,Bengali
1555054,NaN,NaN,NaN
1555055,NaN,1554905,English
1555055,NaN,1554925,Tamil
1555056,NaN,1554901,English
1555057,NaN,NaN,NaN
1555058,NaN,1554911,English
1555059,NaN,1554897,English
1555060,NaN,NaN,NaN
1555061,NaN,NaN,NaN
1555064,NaN,1555207,Urdu
1555064,NaN,1555203,Marathi
1555064,NaN,1555195,Hindi
1555066,NaN,1554831,English
1555066,NaN,1554847,Marathi
1555066,NaN,1554857,Hindi
1555067,NaN,1554845,English
1555067,NaN,1554864,Urdu
1555067,NaN,1554904,Marathi
1555067,NaN,1554872,Bengali
1555068,NaN,1554849,English
1555068,NaN,1554863,Urdu
1555068,NaN,1554859,Marathi
1555068,NaN,1554856,Hindi
1555068,NaN,1554862,Tamil
1555069,NaN,NaN,NaN
1555070,NaN,1555088,Malayalam
1555070,NaN,1554951,English
1555070,NaN,1555118,Marathi
1555070,NaN,1555318,Assamese
1555070,NaN,1555211,Bengali
1555070,NaN,1555084,Tamil
1555070,NaN,1555150,Kannada
1555071,NaN,1553694,English
1555071,NaN,1553747,Marathi
1555071,NaN,1553948,Assamese
1555071,NaN,1553784,Gujarati
1555071,NaN,1554754,Kannada
1555072,NaN,1554938,English
1555072,NaN,1555145,Kannada
1555075,NaN,1554946,English
1555075,NaN,1555362,Kannada
1555078,NaN,1554948,English
