Main_PRID,Language,Extracted_PRID,Extracted_Language
1705000,NaN,1704900,Telugu
1705000,NaN,1704824,English
1705000,NaN,1705015,Urdu
1705000,NaN,1704914,Marathi
1705001,NaN,1704947,English
1705001,NaN,1704958,Urdu
1705001,NaN,1704974,Marathi
1705001,NaN,1705036,Hindi
1705001,NaN,1704990,Manipuri
1705001,NaN,1704997,Bengali
1705001,NaN,1705037,Assamese
1705001,NaN,1705352,Gujarati
1705001,NaN,1704969,Odia
1705001,NaN,1704960,Tamil
1705001,NaN,1705099,Telugu
1705001,NaN,1704980,Kannada
1705001,NaN,1705028,Malayalam
1705002,NaN,1704935,English
1705002,NaN,1705040,Urdu
1705002,NaN,1704954,Hindi
1705002,NaN,1704963,Marathi
1705002,NaN,1704949,Tamil
1705003,NaN,1709386,Urdu
1705003,NaN,1704907,English
1705003,NaN,1704964,Hindi
1705003,NaN,1704952,Marathi
1705004,NaN,1704883,English
1705005,NaN,1704881,English
1705006,NaN,1704803,English
1705006,NaN,1704864,Bengali
1705006,NaN,1704833,Malayalam
1705007,NaN,1704877,English
1705007,NaN,1704983,Telugu
1705008,NaN,1704953,English
1705008,NaN,1705046,Hindi
1705009,NaN,1704904,Malayalam
1705009,NaN,1704820,English
1705010,NaN,1704876,English
1705011,NaN,1704878,English
1705011,NaN,1704985,Telugu
1705012,NaN,1704882,English
1705012,NaN,1704913,Marathi
1705013,NaN,1704879,English
1705013,NaN,1705133,Telugu
1705014,NaN,1704880,English
1705016,NaN,1704848,English
1705016,NaN,1704981,Telugu
1705017,NaN,1704849,English
1705017,NaN,1704986,Telugu
1705018,NaN,1704847,English
1705018,NaN,1704929,Bengali
1705019,NaN,1704975,Telugu
1705019,NaN,1704822,English
1705019,NaN,1704994,Bengali
1705020,NaN,1704821,English
1705020,NaN,1704991,Bengali
1705020,NaN,1704896,Telugu
1705021,NaN,1704977,Telugu
1705021,NaN,1704875,English
1705021,NaN,1704930,Marathi
1705022,NaN,1704874,English
1705022,NaN,1704984,Telugu
1705023,NaN,1705181,Punjabi
1705023,NaN,1705388,Urdu
1705023,NaN,1704944,English
1705023,NaN,1704976,Marathi
1705023,NaN,1704998,Bengali
1705024,NaN,1704871,English
1705024,NaN,1704939,Hindi
1705025,NaN,1704844,English
1705025,NaN,1704923,Hindi
1705025,NaN,1704926,Bengali
1705025,NaN,1704889,Malayalam
1705026,NaN,1704956,English
1705026,NaN,1705044,Urdu
1705026,NaN,1704999,Odia
1705027,NaN,1704823,English
1705027,NaN,1704873,Marathi
1705027,NaN,1704995,Bengali
1705027,NaN,1704972,Odia
1705027,NaN,1704987,Telugu
1705027,NaN,1704842,Malayalam
1705029,NaN,1704909,English
1705029,NaN,1705371,Urdu
1705030,NaN,1704951,English
1705030,NaN,1705071,Urdu
1705031,NaN,1704872,English
1705031,NaN,1704957,Urdu
1705031,NaN,1704934,Hindi
1705031,NaN,1704922,Marathi
1705031,NaN,1704961,Bengali
1705031,NaN,1704936,Manipuri
1705031,NaN,1704955,Punjabi
1705031,NaN,1704892,Gujarati
1705031,NaN,1704967,Odia
1705031,NaN,1704903,Tamil
1705031,NaN,1704920,Telugu
1705031,NaN,1704905,Kannada
1705031,NaN,1704899,Malayalam
1705032,NaN,1704796,English
1705032,NaN,1704808,Urdu
1705032,NaN,1704826,Marathi
1705032,NaN,1704841,Hindi
1705032,NaN,1704815,Bengali
1705032,NaN,1704931,Punjabi
1705032,NaN,1704802,Gujarati
1705032,NaN,1704884,Odia
1705032,NaN,1704817,Tamil
1705032,NaN,1704843,Telugu
1705032,NaN,1704807,Malayalam
1705033,NaN,1704938,English
1705033,NaN,1708668,Urdu
1705034,NaN,1704195,Bengali
1705034,NaN,1704228,Malayalam
1705034,NaN,1704173,Marathi
1705034,NaN,1704169,Tamil
1705034,NaN,1704241,Telugu
1705034,NaN,1704237,Odia
1705034,NaN,1704120,English
1705034,NaN,1704204,Urdu
1705034,NaN,1704170,Hindi
1705034,NaN,1704151,Manipuri
1705034,NaN,1704212,Punjabi
1705034,NaN,1704139,Gujarati
1705034,NaN,1704318,Kannada
1705035,NaN,1704473,English
1705035,NaN,1704553,Urdu
1705035,NaN,1704492,Marathi
1705035,NaN,1704540,Hindi
1705035,NaN,1704600,Manipuri
1705035,NaN,1704604,Bengali
1705035,NaN,1704511,Punjabi
1705035,NaN,1704495,Gujarati
1705035,NaN,1704496,Odia
1705035,NaN,1704634,Tamil
1705035,NaN,1704611,Telugu
1705035,NaN,1704772,Kannada
