Main_PRID,Language,Extracted_PRID,Extracted_Language
1850000,NaN,1849796,English
1850001,NaN,1850125,Urdu
1850002,NaN,1869078,Urdu
1850002,NaN,1850028,Hindi
1850002,NaN,1850017,Marathi
1850002,NaN,1850354,Manipuri
1850002,NaN,1850262,Punjabi
1850003,NaN,1850135,Urdu
1850003,NaN,1850373,Hindi
1850004,NaN,1849989,Marathi
1850004,NaN,1850029,Urdu
1850004,NaN,1849908,Hindi
1850004,NaN,1849793,Tamil
1850004,NaN,1850221,Telugu
1850004,NaN,1849771,English
1850005,NaN,1849854,English
1850006,NaN,1849966,English
1850006,NaN,1850397,Urdu
1850006,NaN,1850256,Bengali
1850006,NaN,1850701,Telugu
1850007,NaN,1849929,English
1850007,NaN,1850015,Hindi
1850007,NaN,1850040,Tamil
1850007,NaN,1849937,Telugu
1850008,NaN,1849931,English
1850008,NaN,1850702,Telugu
1850009,NaN,1849924,English
1850010,NaN,1849927,English
1850011,NaN,1849960,English
1850011,NaN,1850409,Urdu
1850012,NaN,1850293,Urdu
1850012,NaN,1850013,Hindi
1850014,NaN,1849995,English
1850014,NaN,1850032,Urdu
1850014,NaN,1850039,Hindi
1850014,NaN,1850348,Bengali
1850014,NaN,1850495,Assamese
1850014,NaN,1850204,Manipuri
1850014,NaN,1850139,Punjabi
1850014,NaN,1850064,Gujarati
1850014,NaN,1850111,Odia
1850014,NaN,1850042,Tamil
1850014,NaN,1850305,Telugu
1850014,NaN,1850439,Kannada
1850014,NaN,1850066,Malayalam
1850016,NaN,NaN,NaN
1850018,NaN,1849804,English
1850018,NaN,1849877,Gujarati
1850018,NaN,1849869,Tamil
1850018,NaN,1850219,Telugu
1850019,NaN,1849879,Bengali
1850019,NaN,1849808,Malayalam
1850019,NaN,1849741,English
1850019,NaN,1849787,Urdu
1850019,NaN,1849801,Marathi
1850019,NaN,1849906,Hindi
1850019,NaN,1849777,Manipuri
1850019,NaN,1850133,Assamese
1850019,NaN,1850166,Punjabi
1850019,NaN,1849763,Gujarati
1850019,NaN,1850113,Odia
1850019,NaN,1849919,Telugu
1850019,NaN,1852457,Kannada
1850020,NaN,1850126,Urdu
1850020,NaN,1850069,Marathi
1850020,NaN,1850150,Hindi
1850020,NaN,1850543,Bengali
1850020,NaN,1850205,Manipuri
1850020,NaN,1852194,Assamese
1850020,NaN,1850335,Punjabi
1850020,NaN,1850080,Gujarati
1850020,NaN,1850238,Odia
1850020,NaN,1850192,Tamil
1850020,NaN,1850306,Telugu
1850020,NaN,1850438,Kannada
1850020,NaN,1850068,Malayalam
1850021,NaN,NaN,NaN
1850022,NaN,1850132,Urdu
1850022,NaN,1850188,Hindi
1850022,NaN,1850079,Marathi
1850022,NaN,1850528,Bengali
1850022,NaN,1850206,Manipuri
1850022,NaN,1852192,Assamese
1850022,NaN,1850332,Punjabi
1850022,NaN,1850081,Gujarati
1850022,NaN,1850237,Odia
1850022,NaN,1850195,Tamil
1850022,NaN,1850304,Telugu
1850022,NaN,1850432,Kannada
1850022,NaN,1850071,Malayalam
1850023,NaN,1849783,English
1850023,NaN,1850044,Urdu
1850024,NaN,1849961,English
1850024,NaN,1850401,Urdu
1850025,NaN,1849959,English
1850025,NaN,1850412,Urdu
1850026,NaN,1850268,Urdu
1850026,NaN,1850082,Marathi
1850026,NaN,1850156,Hindi
1850026,NaN,1850544,Bengali
1850026,NaN,1850207,Manipuri
1850026,NaN,1850502,Assamese
1850026,NaN,1850333,Punjabi
1850026,NaN,1850083,Gujarati
1850026,NaN,1850236,Odia
1850026,NaN,1850186,Tamil
1850026,NaN,1850303,Telugu
1850026,NaN,1850430,Kannada
1850026,NaN,1850072,Malayalam
1850027,NaN,1849802,English
1850027,NaN,1850054,Urdu
1850030,NaN,1849835,English
1850030,NaN,1850123,Urdu
1850030,NaN,1850095,Telugu
1850031,NaN,1849790,English
1850031,NaN,1849864,Tamil
1850033,NaN,1849865,English
1850033,NaN,1850355,Urdu
1850034,NaN,1849882,English
1850034,NaN,1850395,Urdu
1850035,NaN,1850134,Urdu
1850035,NaN,1850151,Hindi
1850035,NaN,1850074,Marathi
1850035,NaN,1850550,Bengali
1850035,NaN,1850208,Manipuri
1850035,NaN,1851175,Assamese
1850035,NaN,1850334,Punjabi
1850035,NaN,1850084,Gujarati
1850035,NaN,1850235,Odia
1850035,NaN,1850189,Tamil
1850035,NaN,1850301,Telugu
1850035,NaN,1850429,Kannada
1850035,NaN,1850078,Malayalam
1850036,NaN,NaN,NaN
1850037,NaN,1849977,Bengali
1850037,NaN,1850106,Assamese
1850037,NaN,1849964,Malayalam
1850037,NaN,1849935,Gujarati
1850037,NaN,1849922,English
1850037,NaN,1849982,Urdu
1850037,NaN,1849984,Marathi
1850037,NaN,1850047,Hindi
1850037,NaN,1850211,Manipuri
1850037,NaN,1850155,Punjabi
1850037,NaN,1850109,Odia
1850037,NaN,1850295,Telugu
1850037,NaN,1850441,Kannada
1850038,NaN,1849786,English
1850041,NaN,1850227,Urdu
1850041,NaN,1850253,Hindi
1850041,NaN,1850353,Manipuri
1850043,NaN,1850447,Urdu
1850043,NaN,1849863,English
1850043,NaN,1850092,Telugu
1850045,NaN,1850062,Marathi
1850045,NaN,1850101,Hindi
1850045,NaN,1850276,Bengali
1850045,NaN,1849999,English
1850045,NaN,1850116,Urdu
1850046,NaN,1849795,English
1850046,NaN,1850812,Telugu
1850048,NaN,1849939,English
1850048,NaN,1850323,Urdu
1850049,NaN,1849955,English
1850049,NaN,1853797,Urdu
1850050,NaN,1849976,English
1850051,NaN,1849998,English
1850051,NaN,1850320,Urdu
1850052,NaN,1850220,Telugu
1850052,NaN,1849803,English
1850052,NaN,1849903,Tamil
1850053,NaN,1849950,English
1850053,NaN,1850391,Urdu
1850055,NaN,1849978,English
1850055,NaN,1850117,Urdu
1850055,NaN,1850136,Hindi
1850056,NaN,1849710,Assamese
1850056,NaN,1849603,English
1850056,NaN,1849639,Urdu
1850056,NaN,1849642,Hindi
1850056,NaN,1849665,Marathi
1850056,NaN,1849970,Bengali
1850056,NaN,1849691,Manipuri
1850056,NaN,1849874,Punjabi
1850056,NaN,1849672,Gujarati
1850056,NaN,1849894,Odia
1850056,NaN,1849653,Tamil
1850056,NaN,1849883,Telugu
1850056,NaN,1849740,Malayalam
1850057,NaN,NaN,NaN
1850058,NaN,1849602,English
1850058,NaN,1849635,Urdu
1850058,NaN,1849664,Hindi
1850058,NaN,1849775,Marathi
1850058,NaN,1850549,Bengali
1850058,NaN,1849666,Manipuri
1850058,NaN,1850112,Assamese
1850058,NaN,1849911,Punjabi
1850058,NaN,1849657,Gujarati
1850058,NaN,1849890,Odia
1850058,NaN,1849645,Tamil
1850058,NaN,1849886,Telugu
1850058,NaN,1849735,Malayalam
1850059,NaN,NaN,NaN
1850061,NaN,1849981,English
1850061,NaN,1850076,Urdu
1850061,NaN,1850057,Marathi
1850061,NaN,1850712,Punjabi
1850061,NaN,1850091,Gujarati
1850063,NaN,1850222,Urdu
1850063,NaN,1850102,Marathi
1850063,NaN,1850316,Hindi
1850065,NaN,1850098,Marathi
1850067,NaN,1849983,English
1850067,NaN,1850124,Urdu
1850070,NaN,1849956,English
1850070,NaN,1850356,Urdu
1850070,NaN,1850813,Telugu
1850073,NaN,1849764,English
1850073,NaN,1850147,Urdu
1850073,NaN,1849972,Marathi
1850073,NaN,1850350,Manipuri
1850073,NaN,1849860,Tamil
1850073,NaN,1850426,Telugu
1850075,NaN,1849797,English
1850075,NaN,1849807,Gujarati
1850077,NaN,1849789,English
1850085,NaN,NaN,NaN
1850086,NaN,NaN,NaN
1850087,NaN,1849878,English
1850087,NaN,1850442,Urdu
1850088,NaN,1849871,English
1850088,NaN,1850175,Urdu
1850088,NaN,1849994,Marathi
1850089,NaN,1850060,English
1850089,NaN,1850131,Urdu
1850089,NaN,1850184,Hindi
1850089,NaN,1850090,Marathi
1850089,NaN,1850202,Manipuri
1850089,NaN,1850493,Assamese
1850089,NaN,1850573,Bengali
1850089,NaN,1850377,Punjabi
1850089,NaN,1850234,Odia
1850089,NaN,1850185,Tamil
1850089,NaN,1850570,Telugu
1850089,NaN,1850428,Kannada
1850089,NaN,1850094,Malayalam
1850093,NaN,1849838,English
1850093,NaN,1850462,Urdu
1850093,NaN,1849915,Tamil
1850096,NaN,1849885,English
1850096,NaN,1850419,Urdu
1850097,NaN,1849825,English
1850097,NaN,1850122,Urdu
1850097,NaN,1849909,Tamil
1850099,NaN,1850173,Urdu
1850099,NaN,1850100,Hindi
1850099,NaN,1850342,Manipuri
1850099,NaN,1850347,Bengali
1850099,NaN,1850508,Assamese
1850099,NaN,1850376,Punjabi
1850099,NaN,1850170,Gujarati
1850099,NaN,1851156,Odia
1850099,NaN,1850408,Tamil
1850099,NaN,1850566,Telugu
1850099,NaN,1850427,Kannada
1850099,NaN,1850281,Malayalam
1850103,NaN,1849823,English
1850103,NaN,1850451,Urdu
1850104,NaN,1849484,Tamil
1850104,NaN,1849914,Telugu
1850104,NaN,1849421,Gujarati
1850104,NaN,1849419,English
1850104,NaN,1849463,Urdu
1850104,NaN,1849454,Hindi
1850104,NaN,1849435,Marathi
1850104,NaN,1850247,Bengali
1850104,NaN,1849702,Manipuri
1850104,NaN,1849916,Punjabi
1850104,NaN,1849536,Odia
1850104,NaN,1849509,Malayalam
1850105,NaN,1849850,Bengali
1850105,NaN,1849494,English
1850105,NaN,1849607,Urdu
1850105,NaN,1849521,Hindi
1850105,NaN,1849512,Marathi
1850105,NaN,1849695,Manipuri
1850105,NaN,1849568,Punjabi
1850105,NaN,1849534,Gujarati
1850105,NaN,1849539,Odia
1850105,NaN,1849667,Tamil
1850105,NaN,1849566,Telugu
1850105,NaN,1853574,Kannada
1850105,NaN,1849529,Malayalam
1850107,NaN,1849750,English
1850107,NaN,1849800,Urdu
1850107,NaN,1850260,Marathi
1850107,NaN,1849751,Hindi
1850107,NaN,1850209,Manipuri
1850107,NaN,1852347,Bengali
1850107,NaN,1850870,Assamese
1850107,NaN,1850378,Punjabi
1850107,NaN,1849773,Gujarati
1850107,NaN,1850300,Tamil
1850107,NaN,1850578,Telugu
1850107,NaN,1852453,Kannada
1850108,NaN,1849246,English
1850108,NaN,1849315,Urdu
1850108,NaN,1849331,Hindi
1850108,NaN,1849336,Marathi
1850108,NaN,1849473,Bengali
1850108,NaN,1849737,Manipuri
1850108,NaN,1849824,Punjabi
1850108,NaN,1849280,Gujarati
1850108,NaN,1849543,Odia
1850108,NaN,1849307,Tamil
1850108,NaN,1849555,Telugu
1850108,NaN,1849500,Kannada
1850108,NaN,1849294,Malayalam
1850110,NaN,1849427,English
1850110,NaN,1849503,Urdu
1850110,NaN,1849450,Marathi
1850110,NaN,1849468,Hindi
1850110,NaN,1849842,Bengali
1850110,NaN,1849718,Manipuri
1850110,NaN,1849571,Punjabi
1850110,NaN,1849442,Gujarati
1850110,NaN,1849832,Odia
1850110,NaN,1849489,Tamil
1850110,NaN,1849562,Telugu
1850110,NaN,1849522,Malayalam
1850114,NaN,NaN,NaN
1850115,NaN,1849798,English
1850118,NaN,1849815,English
1850119,NaN,1849973,English
1850120,NaN,1849975,English
1850121,NaN,1849821,English
1850127,NaN,1850226,Urdu
1850127,NaN,1850154,Marathi
1850127,NaN,1850242,Hindi
1850127,NaN,1850201,Manipuri
1850127,NaN,1850380,Punjabi
1850127,NaN,1850179,Gujarati
1850127,NaN,1850174,Tamil
1850127,NaN,1850216,Telugu
1850128,NaN,1850225,Urdu
1850128,NaN,1850261,Marathi
1850128,NaN,1850243,Hindi
1850128,NaN,1850200,Manipuri
1850128,NaN,1850379,Punjabi
1850128,NaN,1850177,Gujarati
1850128,NaN,1850172,Tamil
1850128,NaN,1850215,Telugu
1850129,NaN,1850250,Hindi
1850129,NaN,1850217,Telugu
1850129,NaN,1850228,Urdu
1850129,NaN,1850171,Marathi
1850129,NaN,1850199,Manipuri
1850129,NaN,1850381,Punjabi
1850129,NaN,1850181,Gujarati
1850129,NaN,1850176,Tamil
1850130,NaN,1850224,Urdu
1850130,NaN,1850153,Hindi
1850130,NaN,1850168,Marathi
1850130,NaN,1850197,Manipuri
1850130,NaN,1850252,Bengali
1850130,NaN,1850255,Assamese
1850130,NaN,1850331,Punjabi
1850130,NaN,1850182,Gujarati
1850130,NaN,1850241,Odia
1850130,NaN,1850180,Tamil
1850130,NaN,1850299,Telugu
1850130,NaN,1850413,Kannada
1850130,NaN,1850142,Malayalam
1850137,NaN,1849600,English
1850137,NaN,1849654,Urdu
1850137,NaN,1849685,Hindi
1850137,NaN,1849655,Marathi
1850137,NaN,1849968,Bengali
1850137,NaN,1849661,Manipuri
1850137,NaN,1849918,Punjabi
1850137,NaN,1849647,Gujarati
1850137,NaN,1849898,Odia
1850137,NaN,1849658,Tamil
1850137,NaN,1849887,Telugu
1850137,NaN,1850478,Kannada
1850137,NaN,1849724,Malayalam
1850138,NaN,1850403,Urdu
1850138,NaN,1849988,English
1850140,NaN,1849839,English
1850140,NaN,1849992,Urdu
1850140,NaN,1849958,Hindi
1850140,NaN,1849893,Marathi
1850140,NaN,1849974,Bengali
1850140,NaN,1850210,Manipuri
1850140,NaN,1852181,Assamese
1850140,NaN,1849856,Gujarati
