Main_PRID,Language,Extracted_PRID,Extracted_Language
1600000,NaN,NaN,NaN
1600001,NaN,NaN,NaN
1600002,NaN,NaN,NaN
1600003,NaN,1599898,English
1600003,NaN,1599956,Urdu
1600004,NaN,1599905,English
1600005,NaN,NaN,NaN
1600006,NaN,NaN,NaN
1600007,NaN,1599894,English
1600008,NaN,1599966,English
1600009,NaN,1600056,Telugu
1600009,NaN,1599947,English
1600009,NaN,1599953,Urdu
1600009,NaN,1599992,Marathi
1600009,NaN,1599960,Hindi
1600009,NaN,1599983,Bengali
1600009,NaN,1600069,Punjabi
1600009,NaN,1599991,Tamil
1600009,NaN,1599968,Kannada
1600010,NaN,1600169,Punjabi
1600010,NaN,1599935,English
1600010,NaN,1599982,Urdu
1600010,NaN,1599995,Marathi
1600010,NaN,1599967,Hindi
1600010,NaN,1599981,Bengali
1600010,NaN,1599964,Gujarati
1600010,NaN,1599990,Tamil
1600010,NaN,1600057,Telugu
1600010,NaN,1599952,Kannada
1600011,NaN,1599914,English
1600011,NaN,1599936,Urdu
1600011,NaN,1599958,Marathi
1600011,NaN,1599974,Hindi
1600011,NaN,1599975,Bengali
1600011,NaN,1600071,Punjabi
1600011,NaN,1599940,Gujarati
1600011,NaN,1599946,Tamil
1600011,NaN,1600051,Telugu
1600011,NaN,1599949,Kannada
1600012,NaN,1599913,English
1600012,NaN,1599932,Urdu
1600012,NaN,1599976,Hindi
1600012,NaN,1599959,Marathi
1600012,NaN,1599977,Bengali
1600012,NaN,1600072,Punjabi
1600012,NaN,1599939,Gujarati
1600012,NaN,1599945,Tamil
1600012,NaN,1600052,Telugu
1600012,NaN,1599950,Kannada
1600013,NaN,1599912,English
1600013,NaN,1599931,Urdu
1600013,NaN,1599980,Hindi
1600013,NaN,1599957,Marathi
1600013,NaN,1599978,Bengali
1600013,NaN,1600073,Punjabi
1600013,NaN,1599938,Gujarati
1600013,NaN,1599944,Tamil
1600013,NaN,1600054,Telugu
1600013,NaN,1599951,Kannada
1600014,NaN,NaN,NaN
1600015,NaN,1600038,Urdu
1600015,NaN,1600175,Hindi
1600016,NaN,1599998,English
1600016,NaN,1600042,Hindi
1600017,NaN,1599994,English
1600018,NaN,1600041,Urdu
1600018,NaN,1600097,Hindi
1600019,NaN,1599973,English
1600019,NaN,1600037,Urdu
1600019,NaN,1600047,Marathi
1600020,NaN,1600064,Urdu
1600020,NaN,1600060,Hindi
1600021,NaN,1599937,English
1600022,NaN,1600078,Urdu
1600023,NaN,1600066,Urdu
1600023,NaN,1600062,Hindi
1600024,NaN,1600063,Urdu
1600024,NaN,1600265,Hindi
1600025,NaN,1600065,Urdu
1600025,NaN,1600109,Hindi
1600026,NaN,1600075,Urdu
1600026,NaN,1600061,Hindi
1600027,NaN,1599994,English
1600027,NaN,1600017,Marathi
1600027,NaN,1600045,Hindi
1600027,NaN,1600032,Gujarati
1600028,NaN,NaN,NaN
1600029,NaN,1599937,English
1600029,NaN,1599985,Urdu
1600029,NaN,1600813,Marathi
1600029,NaN,1599969,Hindi
1600029,NaN,1600021,Bengali
1600029,NaN,1600171,Punjabi
1600030,NaN,1599971,English
1600031,NaN,1600036,Marathi
1600033,NaN,1600034,English
1600035,NaN,NaN,NaN
1600039,NaN,1599901,English
1600040,NaN,1599897,English
1600040,NaN,1599927,Urdu
1600043,NaN,1599899,English
1600044,NaN,1599903,Bengali
1600044,NaN,1599793,Tamil
1600044,NaN,1599816,Assamese
1600044,NaN,1599787,English
1600044,NaN,1599809,Urdu
1600044,NaN,1599799,Marathi
1600044,NaN,1599790,Hindi
1600044,NaN,1599908,Punjabi
1600044,NaN,1599792,Gujarati
1600044,NaN,1599826,Kannada
1600046,NaN,1599819,Assamese
1600046,NaN,1599747,English
1600046,NaN,1600783,Marathi
1600046,NaN,1599748,Hindi
1600046,NaN,1599928,Bengali
1600046,NaN,1599907,Punjabi
1600046,NaN,1599761,Tamil
1600046,NaN,1599825,Kannada
1600048,NaN,1599895,Tamil
1600048,NaN,1599877,Urdu
1600048,NaN,1599887,Gujarati
1600048,NaN,1599869,Kannada
1600048,NaN,1599915,Assamese
1600048,NaN,1599844,English
1600048,NaN,1599860,Marathi
1600048,NaN,1599885,Hindi
1600048,NaN,1600300,Punjabi
1600049,NaN,1599899,English
1600049,NaN,1599955,Urdu
1600049,NaN,1600043,Marathi
1600049,NaN,1599925,Hindi
1600049,NaN,1599979,Bengali
1600049,NaN,1600070,Punjabi
1600049,NaN,1599916,Gujarati
1600049,NaN,1599942,Tamil
1600049,NaN,1599934,Kannada
1600050,NaN,1600079,Urdu
1600050,NaN,1600100,Hindi
1600053,NaN,NaN,NaN
1600055,NaN,NaN,NaN
1600058,NaN,1599894,English
1600058,NaN,1661724,Urdu
1600058,NaN,1661718,Hindi
1600058,NaN,1600681,Marathi
1600058,NaN,1600007,Bengali
1600058,NaN,1600568,Punjabi
1600058,NaN,1600627,Punjabi
1600058,NaN,1600324,Tamil
1600058,NaN,1599963,Kannada
1600059,NaN,NaN,NaN
1600067,NaN,NaN,NaN
1600068,NaN,NaN,NaN
1600074,NaN,1599517,English
1600076,NaN,1599334,English
1600076,NaN,1599376,Bengali
1600077,NaN,1600080,Urdu
1600077,NaN,1600201,Hindi
1600077,NaN,1600110,Bengali
