Main_PRID,Language,Extracted_PRID,Extracted_Language
1790000,NaN,1790222,Bengali
1790000,NaN,1790021,Urdu
1790000,NaN,1790053,Hindi
1790001,NaN,1789879,Telugu
1790001,NaN,1789819,English
1790001,NaN,1789861,Urdu
1790001,NaN,1789881,Marathi
1790001,NaN,1789828,Hindi
1790001,NaN,1789903,Manipuri
1790001,NaN,1789917,Punjabi
1790001,NaN,1789870,Gujarati
1790001,NaN,1789883,Tamil
1790001,NaN,1789824,Malayalam
1790002,NaN,1789813,English
1790002,NaN,1789855,Urdu
1790002,NaN,1789871,Marathi
1790002,NaN,1789836,Hindi
1790002,NaN,1789901,Manipuri
1790002,NaN,1789919,Punjabi
1790002,NaN,1789869,Gujarati
1790002,NaN,1789884,Tamil
1790002,NaN,1789878,Telugu
1790002,NaN,1789823,Malayalam
1790003,NaN,1789912,English
1790003,NaN,1789964,Urdu
1790003,NaN,1789997,Hindi
1790003,NaN,1790567,Punjabi
1790003,NaN,1789982,Tamil
1790003,NaN,1790076,Telugu
1790003,NaN,1789947,Malayalam
1790004,NaN,NaN,NaN
1790005,NaN,1790056,Urdu
1790005,NaN,1790059,Hindi
1790005,NaN,1790370,Punjabi
1790006,NaN,1789952,English
1790006,NaN,1790011,Urdu
1790006,NaN,1789988,Marathi
1790006,NaN,1789978,Hindi
1790006,NaN,1790262,Telugu
1790007,NaN,1790455,Urdu
1790007,NaN,1790207,Hindi
1790008,NaN,1789899,English
1790008,NaN,1790467,Urdu
1790008,NaN,1789945,Marathi
1790008,NaN,1790042,Manipuri
1790008,NaN,1789984,Punjabi
1790008,NaN,1789925,Gujarati
1790008,NaN,1790020,Odia
1790008,NaN,1789933,Malayalam
1790009,NaN,NaN,NaN
1790010,NaN,1790014,Marathi
1790010,NaN,1789972,English
1790010,NaN,1790016,Hindi
1790012,NaN,1789959,English
1790012,NaN,1789998,Marathi
1790012,NaN,1789993,Tamil
1790013,NaN,1789980,Hindi
1790013,NaN,1790158,Bengali
1790013,NaN,1789961,English
1790013,NaN,1789974,Marathi
1790013,NaN,1790024,Tamil
1790015,NaN,NaN,NaN
1790017,NaN,1789960,English
1790017,NaN,1790030,Urdu
1790017,NaN,1790082,Hindi
1790018,NaN,1789963,English
1790018,NaN,1790023,Urdu
1790018,NaN,1790031,Marathi
1790018,NaN,1790157,Bengali
1790019,NaN,1789962,English
1790019,NaN,1790469,Urdu
1790019,NaN,1790196,Hindi
1790019,NaN,1789979,Manipuri
1790019,NaN,1790035,Gujarati
1790022,NaN,NaN,NaN
1790025,NaN,1789943,English
1790025,NaN,1789996,Hindi
1790025,NaN,1789967,Marathi
1790025,NaN,1790153,Bengali
1790025,NaN,1789976,Tamil
1790026,NaN,1789911,English
1790026,NaN,1789965,Urdu
1790026,NaN,1790022,Tamil
1790027,NaN,1790058,Urdu
1790027,NaN,1790188,Hindi
1790027,NaN,1790272,Telugu
1790028,NaN,1789938,English
1790028,NaN,1790054,Urdu
1790028,NaN,1790415,Malayalam
1790029,NaN,1789907,English
1790029,NaN,1789950,Hindi
1790029,NaN,1789941,Marathi
1790029,NaN,1789989,Punjabi
1790029,NaN,1789975,Odia
1790029,NaN,1789966,Tamil
1790032,NaN,1790915,Urdu
1790033,NaN,1789985,English
1790033,NaN,1790057,Urdu
1790033,NaN,1790051,Hindi
1790033,NaN,1790040,Manipuri
1790033,NaN,1790571,Punjabi
1790034,NaN,1789995,English
1790034,NaN,1790055,Urdu
1790034,NaN,1790141,Hindi
1790034,NaN,1790164,Bengali
1790034,NaN,1790144,Manipuri
1790036,NaN,1789690,English
1790036,NaN,1789750,Urdu
1790036,NaN,1789728,Hindi
1790036,NaN,1789714,Marathi
1790036,NaN,1789751,Manipuri
1790036,NaN,1789748,Bengali
1790036,NaN,1789720,Tamil
1790036,NaN,1789834,Telugu
1790037,NaN,NaN,NaN
1790038,NaN,1789757,English
1790038,NaN,1789835,Hindi
1790038,NaN,1789866,Urdu
1790038,NaN,1789831,Telugu
1790039,NaN,1790181,Telugu
1790039,NaN,1792967,Marathi
1790039,NaN,1790172,Kannada
1790039,NaN,1790060,Malayalam
1790039,NaN,1790163,Bengali
1790039,NaN,1790077,Urdu
1790039,NaN,1790106,Hindi
1790039,NaN,1790134,Manipuri
1790039,NaN,1790911,Assamese
1790039,NaN,1790133,Punjabi
1790039,NaN,1790355,Gujarati
1790039,NaN,1790096,Odia
1790039,NaN,1790103,Tamil
1790041,NaN,1789788,Tamil
1790041,NaN,1789708,English
1790041,NaN,1789760,Urdu
1790041,NaN,1789737,Marathi
1790041,NaN,1789764,Hindi
1790041,NaN,1790078,Telugu
1790043,NaN,1790009,English
1790043,NaN,1790085,Urdu
1790043,NaN,1790174,Hindi
1790044,NaN,1790166,Bengali
1790044,NaN,1790120,Marathi
1790044,NaN,1790178,Telugu
