Main_PRID,Language,Extracted_PRID,Extracted_Language
1489888,NaN,NaN,NaN
1489889,NaN,NaN,NaN
1489890,NaN,NaN,NaN
1489891,NaN,NaN,NaN
1489892,NaN,NaN,NaN
1489893,NaN,NaN,NaN
1489894,NaN,NaN,NaN
1489895,NaN,NaN,NaN
1489896,NaN,NaN,NaN
1489897,NaN,NaN,NaN
1489898,NaN,NaN,NaN
1489899,NaN,NaN,NaN
1489900,NaN,1489901,English
1489902,NaN,NaN,NaN
1489903,NaN,NaN,NaN
1489904,NaN,NaN,NaN
1489905,NaN,NaN,NaN
1489906,NaN,NaN,NaN
1489907,NaN,NaN,NaN
1489908,NaN,NaN,NaN
1489909,NaN,NaN,NaN
1489910,NaN,NaN,NaN
1489911,NaN,NaN,NaN
1489912,NaN,NaN,NaN
1489913,NaN,NaN,NaN
1489914,NaN,NaN,NaN
1489915,NaN,NaN,NaN
1489916,NaN,NaN,NaN
1489917,NaN,NaN,NaN
1489918,NaN,NaN,NaN
1489919,NaN,NaN,NaN
1489920,NaN,1489921,English
1489922,NaN,NaN,NaN
1489923,NaN,NaN,NaN
1489924,NaN,NaN,NaN
1489925,NaN,NaN,NaN
1489926,NaN,NaN,NaN
1489927,NaN,NaN,NaN
1489928,NaN,NaN,NaN
1489929,NaN,NaN,NaN
1489930,NaN,NaN,NaN
1489931,NaN,NaN,NaN
1489932,NaN,1489934,English
1489933,NaN,NaN,NaN
1489935,NaN,NaN,NaN
1489936,NaN,NaN,NaN
1489937,NaN,NaN,NaN
1489938,NaN,NaN,NaN
1489939,NaN,NaN,NaN
1489940,NaN,NaN,NaN
1489941,NaN,NaN,NaN
1489942,NaN,NaN,NaN
1489943,NaN,NaN,NaN
1489944,NaN,NaN,NaN
1489945,NaN,NaN,NaN
1489946,NaN,NaN,NaN
1489947,NaN,NaN,NaN
1489948,NaN,NaN,NaN
1489949,NaN,NaN,NaN
1489950,NaN,NaN,NaN
1489951,NaN,NaN,NaN
1489952,NaN,NaN,NaN
1489953,NaN,NaN,NaN
1489954,NaN,NaN,NaN
1489955,NaN,NaN,NaN
1489956,NaN,NaN,NaN
1489957,NaN,NaN,NaN
1489958,NaN,NaN,NaN
1489959,NaN,NaN,NaN
1489960,NaN,NaN,NaN
1489961,NaN,NaN,NaN
1489962,NaN,NaN,NaN
1489963,NaN,NaN,NaN
1489964,NaN,NaN,NaN
1489965,NaN,NaN,NaN
1489966,NaN,NaN,NaN
1489967,NaN,NaN,NaN
1489968,NaN,NaN,NaN
1489969,NaN,NaN,NaN
1489970,NaN,NaN,NaN
1489971,NaN,NaN,NaN
1489972,NaN,NaN,NaN
1489973,NaN,NaN,NaN
1489974,NaN,NaN,NaN
1489975,NaN,NaN,NaN
1489976,NaN,NaN,NaN
1489977,NaN,NaN,NaN
1489978,NaN,NaN,NaN
1489979,NaN,1489981,English
1489980,NaN,NaN,NaN
1489982,NaN,NaN,NaN
1489983,NaN,NaN,NaN
1489984,NaN,NaN,NaN
1489985,NaN,NaN,NaN
1489986,NaN,NaN,NaN
1489987,NaN,NaN,NaN
1489988,NaN,NaN,NaN
1489989,NaN,NaN,NaN
1489990,NaN,NaN,NaN
1489991,NaN,NaN,NaN
1489992,NaN,NaN,NaN
1489993,NaN,NaN,NaN
1489994,NaN,NaN,NaN
1489995,NaN,NaN,NaN
1489996,NaN,NaN,NaN
1489997,NaN,NaN,NaN
1489998,NaN,NaN,NaN
1489999,NaN,NaN,NaN
1490000,NaN,NaN,NaN
1490001,NaN,NaN,NaN
1490002,NaN,NaN,NaN
1490003,NaN,NaN,NaN
1490004,NaN,NaN,NaN
1490005,NaN,NaN,NaN
1490006,NaN,NaN,NaN
1490007,NaN,NaN,NaN
1490008,NaN,NaN,NaN
1490009,NaN,NaN,NaN
1490010,NaN,NaN,NaN
1490011,NaN,NaN,NaN
1490012,NaN,NaN,NaN
1490013,NaN,NaN,NaN
