Main_PRID,Language,Extracted_PRID,Extracted_Language
1573000,NaN,1572977,English
1573000,NaN,1573034,Bengali
1573001,NaN,1573163,Hindi
1573002,NaN,1573077,Hindi
1573003,NaN,1573076,Hindi
1573003,NaN,1573077,Hindi
1573004,NaN,1573251,Hindi
1573005,NaN,NaN,NaN
1573006,NaN,NaN,NaN
1573007,NaN,1573121,Hindi
1573008,NaN,NaN,NaN
1573009,NaN,1573119,Hindi
1573010,NaN,1573093,Hindi
1573011,NaN,NaN,NaN
1573012,NaN,NaN,NaN
1573013,NaN,NaN,NaN
1573014,NaN,1573083,Hindi
1573015,NaN,1573624,Assamese
1573015,NaN,1572955,English
1573015,NaN,1572982,Urdu
1573015,NaN,1572991,Marathi
1573015,NaN,1572995,Hindi
1573015,NaN,1572992,Bengali
1573015,NaN,1573017,Gujarati
1573015,NaN,1572993,Tamil
1573015,NaN,1573213,Kannada
1573016,NaN,1573194,Assamese
1573016,NaN,1573072,Bengali
1573016,NaN,1573058,Hindi
1573016,NaN,1573045,Marathi
1573016,NaN,1573040,Gujarati
1573016,NaN,1573127,Tamil
1573016,NaN,1573214,Kannada
1573018,NaN,1573059,Hindi
1573018,NaN,1573128,Tamil
1573018,NaN,1573215,Kannada
1573019,NaN,1573192,Assamese
1573019,NaN,1573082,Hindi
1573019,NaN,1573046,Marathi
1573019,NaN,1573069,Bengali
1573019,NaN,1573041,Gujarati
1573019,NaN,1573124,Tamil
1573019,NaN,1573216,Kannada
1573020,NaN,1573188,Assamese
1573020,NaN,1573056,Urdu
1573020,NaN,1573064,Hindi
1573020,NaN,1573053,Marathi
1573020,NaN,1573066,Bengali
1573020,NaN,1573048,Gujarati
1573020,NaN,1573115,Tamil
1573020,NaN,1573218,Kannada
1573021,NaN,1573084,Hindi
1573021,NaN,1573125,Tamil
1573021,NaN,1573217,Kannada
1573022,NaN,1573065,Hindi
1573022,NaN,1573116,Tamil
1573022,NaN,1573219,Kannada
1573023,NaN,1573197,Assamese
1573023,NaN,1573057,Urdu
1573023,NaN,1573050,Marathi
1573023,NaN,1573068,Hindi
1573023,NaN,1573052,Bengali
1573023,NaN,1573054,Gujarati
1573023,NaN,1573113,Tamil
1573023,NaN,1573220,Kannada
1573024,NaN,1573070,Hindi
1573024,NaN,1573114,Tamil
1573024,NaN,1573221,Kannada
1573025,NaN,1573196,Assamese
1573025,NaN,1573060,Hindi
1573025,NaN,1573047,Marathi
1573025,NaN,1573051,Bengali
1573025,NaN,1573055,Gujarati
1573025,NaN,1573109,Tamil
1573025,NaN,1573222,Kannada
1573026,NaN,1573062,Hindi
1573026,NaN,1573111,Tamil
1573026,NaN,1573223,Kannada
1573027,NaN,1573623,Assamese
