Main_PRID,Language,Extracted_PRID,Extracted_Language
1495951,NaN,1495953,English
1495952,NaN,NaN,NaN
1495954,NaN,NaN,NaN
1495955,NaN,NaN,NaN
1495956,NaN,NaN,NaN
1495957,NaN,NaN,NaN
1495958,NaN,NaN,NaN
1495959,NaN,NaN,NaN
1495960,NaN,1495961,English
1495962,NaN,NaN,NaN
1495963,NaN,1495965,English
1495964,NaN,NaN,NaN
1495966,NaN,1495967,English
1495968,NaN,NaN,NaN
1495969,NaN,NaN,NaN
1495970,NaN,1495971,English
1495972,NaN,NaN,NaN
1495973,NaN,NaN,NaN
1495974,NaN,NaN,NaN
1495975,NaN,NaN,NaN
1495976,NaN,NaN,NaN
1495977,NaN,NaN,NaN
1495978,NaN,NaN,NaN
1495979,NaN,NaN,NaN
1495980,NaN,NaN,NaN
1495981,NaN,NaN,NaN
1495982,NaN,NaN,NaN
1495983,NaN,NaN,NaN
1495984,NaN,NaN,NaN
1495985,NaN,1495986,English
1495987,NaN,NaN,NaN
1495988,NaN,NaN,NaN
1495989,NaN,NaN,NaN
1495990,NaN,NaN,NaN
1495991,NaN,NaN,NaN
1495992,NaN,NaN,NaN
1495993,NaN,NaN,NaN
1495994,NaN,NaN,NaN
1495995,NaN,NaN,NaN
1495996,NaN,NaN,NaN
1495997,NaN,NaN,NaN
1495998,NaN,NaN,NaN
1495999,NaN,NaN,NaN
1496000,NaN,NaN,NaN
1496001,NaN,NaN,NaN
1496002,NaN,NaN,NaN
1496003,NaN,NaN,NaN
1496004,NaN,NaN,NaN
1496005,NaN,NaN,NaN
1496006,NaN,NaN,NaN
1496007,NaN,NaN,NaN
1496008,NaN,NaN,NaN
1496009,NaN,NaN,NaN
1496010,NaN,NaN,NaN
1496011,NaN,NaN,NaN
1496012,NaN,NaN,NaN
1496013,NaN,NaN,NaN
1496014,NaN,NaN,NaN
1496015,NaN,NaN,NaN
1496016,NaN,NaN,NaN
1496017,NaN,1496018,English
1496019,NaN,NaN,NaN
1496020,NaN,NaN,NaN
1496021,NaN,NaN,NaN
1496022,NaN,NaN,NaN
1496023,NaN,NaN,NaN
1496024,NaN,NaN,NaN
1496025,NaN,NaN,NaN
1496026,NaN,NaN,NaN
1496027,NaN,NaN,NaN
1496028,NaN,NaN,NaN
1496029,NaN,NaN,NaN
1496030,NaN,NaN,NaN
1496031,NaN,NaN,NaN
1496032,NaN,NaN,NaN
1496033,NaN,NaN,NaN
1496034,NaN,NaN,NaN
1496035,NaN,NaN,NaN
1496036,NaN,NaN,NaN
1496037,NaN,NaN,NaN
1496038,NaN,NaN,NaN
1496039,NaN,1496040,Telugu
1496041,NaN,1496042,Telugu
1496043,NaN,NaN,NaN
1496044,NaN,NaN,NaN
1496045,NaN,NaN,NaN
1496046,NaN,NaN,NaN
1496047,NaN,NaN,NaN
1496048,NaN,NaN,NaN
1496049,NaN,NaN,NaN
1496050,NaN,NaN,NaN
1496051,NaN,NaN,NaN
1496052,NaN,NaN,NaN
1496054,NaN,NaN,NaN
1496055,NaN,NaN,NaN
1496057,NaN,NaN,NaN
1496058,NaN,NaN,NaN
1496059,NaN,NaN,NaN
1496060,NaN,NaN,NaN
1496061,NaN,NaN,NaN
1496062,NaN,NaN,NaN
1496063,NaN,NaN,NaN
1496064,NaN,NaN,NaN
1496065,NaN,NaN,NaN
1496066,NaN,NaN,NaN
1496067,NaN,NaN,NaN
1496068,NaN,NaN,NaN
1496069,NaN,NaN,NaN
1496070,NaN,NaN,NaN
1496071,NaN,NaN,NaN
1496072,NaN,NaN,NaN
1496073,NaN,NaN,NaN
1496074,NaN,NaN,NaN
1496075,NaN,NaN,NaN
1496076,NaN,NaN,NaN
1496077,NaN,NaN,NaN
1496078,NaN,NaN,NaN
1496079,NaN,NaN,NaN
1496080,NaN,NaN,NaN
1496081,NaN,NaN,NaN
1496082,NaN,NaN,NaN
1496083,NaN,NaN,NaN
1496084,NaN,NaN,NaN
1496085,NaN,NaN,NaN
1496086,NaN,1496644,Tamil
1496087,NaN,NaN,NaN
1496088,NaN,1496089,English
1496090,NaN,NaN,NaN
1496091,NaN,NaN,NaN
