Main_PRID,Language,Extracted_PRID,Extracted_Language
1956000,NaN,1956022,Urdu
1956000,NaN,1956051,Hindi
1956000,NaN,1956040,Marathi
1956000,NaN,1956020,Manipuri
1956000,NaN,1956577,Punjabi
1956000,NaN,1956027,Tamil
1956000,NaN,1956041,Telugu
1956001,NaN,1955909,English
1956001,NaN,1955935,Urdu
1956001,NaN,1955910,Hindi
1956001,NaN,1955992,Marathi
1956001,NaN,1955951,Manipuri
1956001,NaN,1956036,Bengali
1956001,NaN,1955979,Assamese
1956001,NaN,1956075,Punjabi
1956001,NaN,1955930,Gujarati
1956001,NaN,1956291,Tamil
1956001,NaN,1956305,Telugu
1956001,NaN,1956098,Kannada
1956001,NaN,1956059,Malayalam
1956002,NaN,1955963,English
1956002,NaN,1955994,Urdu
1956002,NaN,1955986,Marathi
1956002,NaN,1955978,Hindi
1956002,NaN,1956031,Bengali
1956002,NaN,1955975,Manipuri
1956002,NaN,1956017,Assamese
1956002,NaN,1955987,Punjabi
1956002,NaN,1955970,Gujarati
1956002,NaN,1955985,Tamil
1956002,NaN,1956037,Telugu
1956002,NaN,1956049,Kannada
1956002,NaN,1955984,Malayalam
1956003,NaN,1956047,Kannada
1956003,NaN,1956011,Marathi
1956003,NaN,1956009,Gujarati
1956003,NaN,1955997,English
1956003,NaN,1956015,Urdu
1956003,NaN,1956007,Hindi
1956003,NaN,1956035,Bengali
1956003,NaN,1956013,Manipuri
1956003,NaN,1956071,Punjabi
1956003,NaN,1956068,Odia
1956003,NaN,1956006,Tamil
1956003,NaN,1956039,Telugu
1956003,NaN,1956008,Malayalam
1956004,NaN,1955998,English
1956004,NaN,1956018,Manipuri
1956004,NaN,1956010,Gujarati
1956004,NaN,1955999,Hindi
1956004,NaN,1956046,Marathi
1956004,NaN,1956057,Bengali
1956004,NaN,1956024,Assamese
1956004,NaN,1956070,Punjabi
1956004,NaN,1956061,Odia
1956004,NaN,1956285,Tamil
1956004,NaN,1956234,Telugu
1956004,NaN,1956236,Kannada
1956004,NaN,1956189,Malayalam
1956005,NaN,1955700,English
1956005,NaN,1955726,Urdu
1956005,NaN,1955725,Marathi
1956005,NaN,1955713,Hindi
1956005,NaN,1955703,Manipuri
1956005,NaN,1955774,Bengali
1956005,NaN,1955783,Assamese
1956005,NaN,1955789,Punjabi
1956005,NaN,1955706,Gujarati
1956005,NaN,1955734,Odia
1956005,NaN,1955823,Telugu
1956005,NaN,1955746,Kannada
1956005,NaN,1955702,Malayalam
1956012,NaN,1956028,Manipuri
1956012,NaN,1956230,Gujarati
1956012,NaN,1955995,Urdu
1956012,NaN,1956023,Marathi
1956012,NaN,1955881,Hindi
1956012,NaN,1956272,Bengali
1956012,NaN,1958705,Assamese
1956012,NaN,1956476,Punjabi
1956012,NaN,1956428,Odia
1956012,NaN,1956290,Tamil
1956012,NaN,1956239,Telugu
1956012,NaN,1956099,Kannada
1956012,NaN,1956052,Malayalam
1956014,NaN,1956025,Gujarati
1956014,NaN,1956019,Urdu
1956014,NaN,1956026,Marathi
1956014,NaN,1956016,Hindi
1956014,NaN,1956021,Manipuri
1956014,NaN,1956045,Assamese
1956014,NaN,1956056,Bengali
1956014,NaN,1956072,Punjabi
1956014,NaN,1956060,Odia
1956014,NaN,1956286,Tamil
1956014,NaN,1956201,Telugu
1956014,NaN,1956312,Kannada
1956014,NaN,1956188,Malayalam
1956029,NaN,1955842,English
1956029,NaN,1955866,Urdu
1956029,NaN,1955894,Hindi
1956029,NaN,1955857,Marathi
1956029,NaN,1955958,Manipuri
1956029,NaN,1955947,Assamese
1956029,NaN,1956196,Punjabi
1956029,NaN,1955867,Gujarati
1956029,NaN,1955917,Odia
1956029,NaN,1955877,Tamil
1956029,NaN,1955914,Telugu
1956029,NaN,1955853,Kannada
1956029,NaN,1955856,Malayalam
1956030,NaN,1955938,Assamese
1956030,NaN,1955859,English
1956030,NaN,1955872,Urdu
1956030,NaN,1955878,Marathi
1956030,NaN,1955940,Hindi
1956030,NaN,1955961,Manipuri
1956030,NaN,1956069,Punjabi
1956030,NaN,1955883,Gujarati
1956030,NaN,1955929,Odia
1956030,NaN,1955923,Tamil
1956030,NaN,1955996,Telugu
1956030,NaN,1955899,Kannada
1956030,NaN,1955879,Malayalam
1956032,NaN,1955861,English
1956032,NaN,1955891,Urdu
1956032,NaN,1955890,Marathi
1956032,NaN,1955898,Hindi
1956032,NaN,1955937,Assamese
1956032,NaN,1955955,Manipuri
1956032,NaN,1956074,Punjabi
