Main_PRID,Language,Extracted_PRID,Extracted_Language
1582000,NaN,1582034,Urdu
1582000,NaN,1582019,Marathi
1582000,NaN,1582020,Hindi
1582001,NaN,NaN,NaN
1582002,NaN,1581960,English
1582002,NaN,1582004,Marathi
1582002,NaN,1581996,Bengali
1582003,NaN,1582033,Hindi
1582003,NaN,1582012,Marathi
1582005,NaN,1581961,English
1582006,NaN,1582008,Hindi
1582007,NaN,1581979,English
1582007,NaN,1582040,Urdu
1582007,NaN,1582010,Hindi
1582007,NaN,1582090,Punjabi
1582009,NaN,1581953,English
1582009,NaN,1581988,Hindi
1582009,NaN,1581986,Urdu
1582009,NaN,1581978,Marathi
1582009,NaN,1582081,Malayalam
1582011,NaN,1581980,English
1582011,NaN,1582035,Urdu
1582013,NaN,1582031,Hindi
1582014,NaN,NaN,NaN
1582015,NaN,1582151,Hindi
1582016,NaN,NaN,NaN
1582017,NaN,NaN,NaN
1582018,NaN,1582022,English
1582021,NaN,NaN,NaN
1582023,NaN,NaN,NaN
1582024,NaN,NaN,NaN
1582025,NaN,1581987,English
1582025,NaN,1582041,Urdu
1582026,NaN,NaN,NaN
1582027,NaN,NaN,NaN
1582028,NaN,NaN,NaN
1582029,NaN,1582046,Assamese
1582029,NaN,1582044,Bengali
1582029,NaN,1582022,English
1582029,NaN,1582042,Urdu
1582029,NaN,1582018,Hindi
1582029,NaN,1582085,Punjabi
1582029,NaN,1582051,Tamil
1582029,NaN,1582059,Telugu
1582029,NaN,1582048,Kannada
1582029,NaN,1582043,Malayalam
1582030,NaN,1581989,English
1582030,NaN,1582138,Urdu
1582030,NaN,1582060,Malayalam
1582032,NaN,1582139,Urdu
1582032,NaN,1582146,Hindi
1582036,NaN,1582147,Hindi
1582037,NaN,1582005,Marathi
1582037,NaN,1581961,English
1582038,NaN,1581956,English
1582038,NaN,1581994,Hindi
1582039,NaN,1581972,English
1582039,NaN,1581993,Marathi
1582039,NaN,1581998,Hindi
1582045,NaN,NaN,NaN
1582047,NaN,1582078,Assamese
1582047,NaN,1581904,English
1582047,NaN,1581921,Urdu
1582047,NaN,1582172,Marathi
1582047,NaN,1581928,Hindi
1582047,NaN,1581946,Bengali
1582047,NaN,1582088,Punjabi
1582047,NaN,1581958,Gujarati
1582047,NaN,1581973,Tamil
1582049,NaN,1582068,Assamese
1582049,NaN,1582069,Urdu
1582049,NaN,1582054,Marathi
1582049,NaN,1582066,Bengali
1582049,NaN,1582092,Punjabi
1582049,NaN,1582075,Gujarati
1582049,NaN,1582064,Tamil
1582049,NaN,1582057,Telugu
1582049,NaN,1582052,Kannada
1582050,NaN,1582070,Assamese
1582050,NaN,1582071,Urdu
1582050,NaN,1582055,Marathi
1582050,NaN,1582067,Bengali
1582050,NaN,1582094,Punjabi
1582050,NaN,1582076,Gujarati
1582050,NaN,1582065,Tamil
1582050,NaN,1582058,Telugu
1582050,NaN,1582053,Kannada
1582056,NaN,1582073,Urdu
1582061,NaN,1581927,English
1582061,NaN,1581940,Urdu
1582061,NaN,1581957,Marathi
1582061,NaN,1581969,Hindi
1582061,NaN,1581974,Bengali
1582062,NaN,1581911,English
1582062,NaN,1581924,Urdu
1582062,NaN,1581929,Hindi
1582062,NaN,1581932,Marathi
1582062,NaN,1581967,Bengali
1582063,NaN,1582072,Assamese
1582063,NaN,1581903,English
1582063,NaN,1581908,Hindi
1582063,NaN,1582175,Marathi
1582063,NaN,1581931,Bengali
1582063,NaN,1582091,Punjabi
1582063,NaN,1581930,Gujarati
1582063,NaN,1581916,Tamil
1582063,NaN,1581907,Kannada
1582074,NaN,1581827,English
1582074,NaN,1581836,Urdu
1582074,NaN,1581888,Hindi
1582074,NaN,1581843,Marathi
1582074,NaN,1581845,Bengali
1582074,NaN,1581876,Punjabi
1582074,NaN,1581860,Gujarati
1582074,NaN,1581850,Tamil
1582074,NaN,1581909,Kannada
1582074,NaN,1581944,Malayalam
1582077,NaN,1581398,English
1582077,NaN,1581409,Urdu
1582077,NaN,1581415,Marathi
1582077,NaN,1581411,Hindi
1582077,NaN,1581401,Gujarati
1582077,NaN,1581435,Tamil
1582077,NaN,1581404,Kannada
1582079,NaN,1582097,Bengali
1582080,NaN,1582124,Assamese
1582080,NaN,1582143,Kannada
1582080,NaN,1582149,Tamil
1582080,NaN,1582129,Punjabi
1582080,NaN,1582108,Gujarati
1582080,NaN,1582202,Bengali
1582080,NaN,1582095,Marathi
1582080,NaN,1582141,Telugu
1582082,NaN,NaN,NaN
1582083,NaN,1582107,English
1582084,NaN,NaN,NaN
1582086,NaN,1582107,English
1582087,NaN,NaN,NaN
1582089,NaN,NaN,NaN
1582093,NaN,1582140,Urdu
1582096,NaN,1582153,Urdu
1582098,NaN,NaN,NaN
1582099,NaN,NaN,NaN
1582100,NaN,NaN,NaN
1582101,NaN,1582103,English
1582102,NaN,NaN,NaN
1582104,NaN,NaN,NaN
1582105,NaN,NaN,NaN
1582106,NaN,NaN,NaN
1582109,NaN,NaN,NaN
1582110,NaN,NaN,NaN
1582111,NaN,NaN,NaN
1582112,NaN,1582101,Hindi
1582112,NaN,1582126,Punjabi
1582112,NaN,1582117,Gujarati
1582112,NaN,1582148,Bengali
1582112,NaN,1582103,English
1582112,NaN,1582119,Marathi
1582112,NaN,1582114,Telugu
1582112,NaN,1582317,Malayalam
1582113,NaN,1582136,Urdu
1582113,NaN,1582170,Marathi
1582113,NaN,1582168,Bengali
1582115,NaN,NaN,NaN
1582116,NaN,NaN,NaN
1582118,NaN,NaN,NaN
1582120,NaN,1582121,Kannada
1582120,NaN,1582083,Hindi
1582120,NaN,1582137,Tamil
1582120,NaN,1582125,Punjabi
1582120,NaN,1582130,Gujarati
1582120,NaN,1582204,Bengali
1582120,NaN,1582107,English
1582120,NaN,1582086,Urdu
1582120,NaN,1582095,Marathi
1582120,NaN,1582122,Malayalam
1582123,NaN,1582101,Hindi
1582123,NaN,1582126,Punjabi
1582123,NaN,1582117,Gujarati
1582123,NaN,1582112,Tamil
1582123,NaN,1582148,Bengali
1582123,NaN,1582103,English
1582123,NaN,1582119,Marathi
1582123,NaN,1582114,Telugu
1582123,NaN,1582317,Malayalam
1582127,NaN,1582152,Urdu
1582127,NaN,1582167,Marathi
1582127,NaN,1582144,Hindi
1582127,NaN,1582318,Malayalam
1582128,NaN,1581984,English
1582131,NaN,1582328,Punjabi
1582131,NaN,1582163,Urdu
1582131,NaN,1582166,Marathi
1582131,NaN,1582145,Hindi
1582131,NaN,1582157,Bengali
1582131,NaN,1582319,Malayalam
1582132,NaN,NaN,NaN
1582133,NaN,1582134,English
1582135,NaN,NaN,NaN
1582142,NaN,1582124,Assamese
1582142,NaN,1582143,Kannada
1582142,NaN,1582149,Tamil
1582142,NaN,1582129,Punjabi
1582142,NaN,1582108,Gujarati
1582142,NaN,1582202,Bengali
1582142,NaN,1582080,English
1582142,NaN,1582095,Marathi
1582142,NaN,1582141,Telugu
1582150,NaN,1582190,Tamil
1582150,NaN,1582161,Urdu
1582150,NaN,1582194,Hindi
1582150,NaN,1582169,Marathi
1582150,NaN,1582197,Bengali
1582154,NaN,1581905,English
1582154,NaN,1581923,Urdu
1582155,NaN,1582171,Hindi
1582155,NaN,1582218,Urdu
1582156,NaN,1582191,Urdu
1582156,NaN,1582200,Hindi
1582158,NaN,1582176,Hindi
1582158,NaN,1582188,Hindi
1582158,NaN,1582181,Marathi
1582159,NaN,1581899,English
1582159,NaN,1581951,Urdu
1582159,NaN,1581935,Bengali
1582160,NaN,1581898,English
1582162,NaN,1581816,English
1582162,NaN,1581830,Urdu
1582164,NaN,NaN,NaN
1582165,NaN,1582205,Urdu
1582165,NaN,1582196,Hindi
1582165,NaN,1582209,Marathi
1582173,NaN,1582213,Urdu
1582173,NaN,1582199,Hindi
1582173,NaN,1582187,Tamil
1582174,NaN,1581871,English
1582174,NaN,1581893,Urdu
1582177,NaN,1582221,Urdu
1582177,NaN,1582178,Hindi
1582179,NaN,1582206,Urdu
1582179,NaN,1582182,Hindi
1582179,NaN,1582207,Marathi
1582180,NaN,1581858,English
1582180,NaN,1581885,Urdu
1582184,NaN,1582254,Assamese
1582184,NaN,1582186,Hindi
1582184,NaN,1582284,Punjabi
1582185,NaN,1581497,English
1582189,NaN,1582220,Urdu
1582189,NaN,1582212,Hindi
1582192,NaN,NaN,NaN
1582193,NaN,1582255,Assamese
1582193,NaN,1582219,Urdu
1582193,NaN,1582203,Marathi
1582193,NaN,1582297,Bengali
1582193,NaN,1582285,Punjabi
1582193,NaN,1582223,Gujarati
1582193,NaN,1582234,Tamil
1582193,NaN,1582252,Kannada
1582195,NaN,1582238,Hindi
1582198,NaN,1582236,Hindi
1582201,NaN,NaN,NaN
1582208,NaN,NaN,NaN
1582210,NaN,1582255,Assamese
1582210,NaN,1582193,English
1582210,NaN,1582219,Urdu
1582210,NaN,1582203,Marathi
1582210,NaN,1582297,Bengali
1582210,NaN,1582285,Punjabi
1582210,NaN,1582223,Gujarati
1582210,NaN,1582234,Tamil
1582210,NaN,1582252,Kannada
1582211,NaN,NaN,NaN
1582214,NaN,NaN,NaN
1582215,NaN,NaN,NaN
1582216,NaN,NaN,NaN
1582217,NaN,1582232,Hindi
1582222,NaN,NaN,NaN
1582224,NaN,1582231,Marathi
1582225,NaN,NaN,NaN
1582226,NaN,NaN,NaN
1582227,NaN,NaN,NaN
1582228,NaN,1582242,Urdu
1582229,NaN,NaN,NaN
1582230,NaN,NaN,NaN
1582233,NaN,NaN,NaN
1582235,NaN,1582239,Marathi
1582237,NaN,1582246,Urdu
1582237,NaN,1582240,Hindi
1582237,NaN,1582295,Punjabi
1582241,NaN,1582247,Urdu
1582241,NaN,1582245,Hindi
1582243,NaN,1582244,English
1582248,NaN,1582256,Hindi
1582249,NaN,1582262,Hindi
1582250,NaN,NaN,NaN
1582251,NaN,1582259,Hindi
1582253,NaN,1582274,Urdu
1582253,NaN,1582369,Assamese
1582253,NaN,1582271,Hindi
1582253,NaN,1582299,Marathi
1582253,NaN,1582279,Bengali
1582253,NaN,1582336,Punjabi
1582253,NaN,1582265,Gujarati
1582253,NaN,1582306,Tamil
1582253,NaN,1582506,Kannada
1582257,NaN,1582275,Urdu
1582257,NaN,1582260,Hindi
1582258,NaN,1582261,Marathi
1582263,NaN,1582313,Urdu
1582263,NaN,1582287,Hindi
1582264,NaN,1582980,Assamese
1582264,NaN,1582244,English
1582264,NaN,1582273,Urdu
1582264,NaN,1582243,Hindi
1582264,NaN,1582292,Marathi
1582264,NaN,1582334,Bengali
1582264,NaN,1582286,Punjabi
1582264,NaN,1583128,Tamil
1582266,NaN,1582270,Gujarati
1582267,NaN,1582302,Urdu
1582267,NaN,1582293,Hindi
1582268,NaN,1582269,English
1582272,NaN,1582310,Urdu
1582272,NaN,1582276,Hindi
1582277,NaN,NaN,NaN
1582278,NaN,NaN,NaN
1582280,NaN,NaN,NaN
1582281,NaN,NaN,NaN
1582282,NaN,NaN,NaN
1582283,NaN,1582301,Urdu
1582283,NaN,1582321,Hindi
1582283,NaN,1582323,Marathi
1582283,NaN,1582401,Punjabi
1582283,NaN,1582342,Tamil
1582288,NaN,1582303,Urdu
1582288,NaN,1582289,Hindi
1582288,NaN,1582300,Marathi
1582288,NaN,1582296,Punjabi
1582290,NaN,1582291,English
1582294,NaN,1582312,Urdu
1582294,NaN,1582305,Hindi
1582294,NaN,1582406,Punjabi
1582298,NaN,1582574,Assamese
1582298,NaN,1582359,Urdu
1582298,NaN,1582498,Marathi
1582298,NaN,1582435,Hindi
1582298,NaN,1582441,Bengali
1582298,NaN,1582486,Punjabi
1582298,NaN,1582332,Tamil
1582298,NaN,1582508,Kannada
1582304,NaN,1582322,Marathi
1582307,NaN,1582325,Urdu
1582307,NaN,1582329,Marathi
1582307,NaN,1582326,Hindi
1582307,NaN,1582335,Bengali
1582308,NaN,NaN,NaN
1582309,NaN,NaN,NaN
1582311,NaN,NaN,NaN
1582314,NaN,NaN,NaN
1582315,NaN,NaN,NaN
1582316,NaN,NaN,NaN
1582320,NaN,NaN,NaN
1582324,NaN,1582978,Assamese
1582324,NaN,1582348,Marathi
1582324,NaN,1582404,Hindi
1582324,NaN,1582333,Bengali
1582324,NaN,1582445,Punjabi
1582324,NaN,1582390,Tamil
1582324,NaN,1582400,Kannada
1582327,NaN,NaN,NaN
1582330,NaN,1582349,Urdu
1582330,NaN,1582344,Hindi
1582331,NaN,1582352,Urdu
1582331,NaN,1582339,Hindi
1582337,NaN,1582351,Urdu
1582337,NaN,1582356,Hindi
1582338,NaN,1582361,Urdu
1582338,NaN,1582345,Hindi
1582340,NaN,1582327,English
1582341,NaN,1582360,Marathi
1582341,NaN,1582357,Urdu
1582341,NaN,1582354,Hindi
1582343,NaN,1582353,Urdu
1582343,NaN,1582355,Hindi
1582346,NaN,1582370,Assamese
1582346,NaN,1582363,Urdu
1582346,NaN,1582347,Hindi
1582350,NaN,1582398,Urdu
1582350,NaN,1582384,Hindi
1582358,NaN,1582387,Urdu
1582358,NaN,1582376,Hindi
1582362,NaN,1582381,Hindi
1582362,NaN,1582388,Urdu
1582364,NaN,1582979,Assamese
1582364,NaN,1582385,Urdu
1582364,NaN,1582423,Marathi
1582364,NaN,1582395,Hindi
1582364,NaN,1582380,Bengali
1582364,NaN,1582421,Punjabi
1582364,NaN,1582405,Gujarati
1582364,NaN,1582391,Tamil
1582364,NaN,1582379,Kannada
1582365,NaN,1582572,Assamese
1582365,NaN,1582392,Urdu
1582365,NaN,1582426,Marathi
1582365,NaN,1582446,Hindi
1582365,NaN,1582450,Bengali
1582365,NaN,1582422,Punjabi
1582365,NaN,1582592,Gujarati
1582365,NaN,1585090,Tamil
1582366,NaN,1582981,Assamese
1582366,NaN,1582393,Urdu
1582366,NaN,1582424,Marathi
1582366,NaN,1582375,Hindi
1582366,NaN,1582378,Bengali
1582366,NaN,1582383,Punjabi
1582366,NaN,1582433,Gujarati
1582366,NaN,1582389,Tamil
1582366,NaN,1582377,Kannada
1582368,NaN,1582402,Urdu
1582368,NaN,1582429,Hindi
1582371,NaN,1582372,Assamese
1582373,NaN,NaN,NaN
1582374,NaN,NaN,NaN
1582382,NaN,NaN,NaN
1582386,NaN,NaN,NaN
1582394,NaN,1582367,English
1582394,NaN,1582397,Urdu
1582394,NaN,1582418,Bengali
1582396,NaN,1582403,Urdu
1582396,NaN,1582464,Hindi
1582396,NaN,1582453,Punjabi
1582396,NaN,1582425,Kannada
1582399,NaN,1582407,Urdu
1582399,NaN,1582451,Hindi
1582399,NaN,1582513,Bengali
1582399,NaN,1582454,Punjabi
1582408,NaN,1582409,English
1582410,NaN,1582519,Bengali
1582410,NaN,1582428,Urdu
1582410,NaN,1582437,Marathi
1582410,NaN,1582438,Hindi
1582410,NaN,1582457,Tamil
1582411,NaN,1582427,Urdu
1582411,NaN,1582448,Hindi
1582411,NaN,1582440,Marathi
1582412,NaN,1582449,Urdu
1582412,NaN,1582431,Hindi
1582412,NaN,1582527,Bengali
1582412,NaN,1582478,Malayalam
1582413,NaN,1582416,English
1582414,NaN,1582432,Urdu
1582414,NaN,1582436,Hindi
1582414,NaN,1582434,Marathi
1582414,NaN,1582455,Tamil
1582414,NaN,1582447,Kannada
1582415,NaN,1582573,Assamese
1582415,NaN,1583051,Bengali
1582415,NaN,1582517,Punjabi
1582417,NaN,1582470,Urdu
1582417,NaN,1582443,Hindi
1582419,NaN,1582430,Urdu
1582419,NaN,1582439,Hindi
1582420,NaN,NaN,NaN
1582442,NaN,1582456,Hindi
1582444,NaN,1582461,Urdu
1582444,NaN,1582458,Marathi
1582444,NaN,1582463,Hindi
1582452,NaN,1582471,Urdu
1582452,NaN,1582465,Hindi
1582452,NaN,1582524,Bengali
1582459,NaN,1582473,Bengali
1582460,NaN,1582492,Hindi
1582460,NaN,1582481,Urdu
1582462,NaN,1582485,Urdu
1582462,NaN,1582475,Hindi
1582462,NaN,1582536,Punjabi
1582466,NaN,1582483,Urdu
1582466,NaN,1582479,Hindi
1582467,NaN,1582482,Urdu
1582467,NaN,1582477,Hindi
1582468,NaN,1582484,Urdu
1582468,NaN,1582476,Hindi
1582469,NaN,1582472,Marathi
1582474,NaN,1582488,Urdu
1582474,NaN,1582490,Hindi
1582480,NaN,NaN,NaN
1582487,NaN,1582491,Urdu
1582487,NaN,1582489,Hindi
1582487,NaN,1582493,Marathi
1582487,NaN,1582522,Bengali
1582494,NaN,1582502,Urdu
1582494,NaN,1582501,Hindi
1582494,NaN,1582526,Bengali
1582495,NaN,1582514,Urdu
1582495,NaN,1582504,Hindi
1582495,NaN,1582529,Bengali
1582496,NaN,NaN,NaN
1582497,NaN,1582571,Assamese
1582497,NaN,1582503,Hindi
1582497,NaN,1582525,Marathi
1582497,NaN,1582530,Bengali
