Main_PRID,Language,Extracted_PRID,Extracted_Language
1537000,NaN,1537028,Hindi
1537000,NaN,1537132,Tamil
1537001,NaN,1537047,Marathi
1537001,NaN,1537134,Tamil
1537002,NaN,1536960,English
1537002,NaN,1537005,Marathi
1537002,NaN,1537109,Assamese
1537002,NaN,1537018,Bengali
1537002,NaN,1537006,Gujarati
1537002,NaN,1537022,Tamil
1537002,NaN,1537172,Kannada
1537003,NaN,1537142,Tamil
1537004,NaN,NaN,NaN
1537007,NaN,1536966,English
1537008,NaN,1536997,English
1537008,NaN,1537029,Marathi
1537008,NaN,1537021,Hindi
1537008,NaN,1537019,Bengali
1537008,NaN,1537042,Tamil
1537008,NaN,1537119,Malayalam
1537009,NaN,1537030,Marathi
1537009,NaN,1537107,Assamese
1537009,NaN,1537020,Bengali
1537009,NaN,1537032,Gujarati
1537009,NaN,1537044,Tamil
1537009,NaN,1537159,Kannada
1537009,NaN,1537118,Malayalam
1537010,NaN,1532270,English
1537010,NaN,1532421,Marathi
1537010,NaN,1532559,Bengali
1537010,NaN,1532512,Gujarati
1537010,NaN,1532369,Tamil
1537010,NaN,1532458,Telugu
1537010,NaN,1532597,Kannada
1537010,NaN,1532538,Malayalam
1537011,NaN,1536374,English
1537011,NaN,1536396,Marathi
1537011,NaN,1536409,Hindi
1537011,NaN,1536480,Bengali
1537011,NaN,1536412,Gujarati
1537012,NaN,1532275,English
1537012,NaN,1532428,Marathi
1537012,NaN,1532391,Gujarati
1537012,NaN,1532366,Tamil
1537012,NaN,1532460,Telugu
1537012,NaN,1532594,Kannada
1537012,NaN,1532535,Malayalam
1537013,NaN,1536966,English
1537014,NaN,1536963,English
1537015,NaN,1536996,English
1537016,NaN,1532526,Malayalam
1537016,NaN,1532283,English
1537016,NaN,1532425,Marathi
1537016,NaN,1532571,Bengali
1537016,NaN,1532519,Gujarati
1537016,NaN,1532490,Tamil
1537016,NaN,1532424,Telugu
1537016,NaN,1532589,Kannada
1537017,NaN,1537037,Tamil
1537023,NaN,1536990,English
1537023,NaN,1537040,Tamil
1537024,NaN,1536999,English
1537025,NaN,1536991,English
1537026,NaN,1536899,English
1537026,NaN,1536961,Hindi
1537026,NaN,1536988,Marathi
1537026,NaN,1536982,Bengali
1537026,NaN,1536912,Assamese
1537026,NaN,1536965,Gujarati
1537027,NaN,1537024,Urdu
1537027,NaN,1537129,Tamil
1537027,NaN,1536999,English
1537031,NaN,NaN,NaN
1537033,NaN,1536996,English
1537034,NaN,NaN,NaN
1537035,NaN,NaN,NaN
1537036,NaN,1537144,Tamil
1537038,NaN,1536954,English
1537038,NaN,1537122,Malayalam
1537039,NaN,1536963,English
1537039,NaN,1537014,Hindi
1537039,NaN,1537121,Malayalam
1537041,NaN,NaN,NaN
1537043,NaN,NaN,NaN
1537045,NaN,NaN,NaN
1537046,NaN,NaN,NaN
1537048,NaN,1535647,English
1537048,NaN,1535749,Marathi
1537048,NaN,1537431,Assamese
1537049,NaN,NaN,NaN
1537050,NaN,NaN,NaN
1537051,NaN,1537214,Tamil
1537052,NaN,NaN,NaN
1537053,NaN,NaN,NaN
1537055,NaN,NaN,NaN
1537056,NaN,NaN,NaN
1537057,NaN,NaN,NaN
1537058,NaN,NaN,NaN
1537059,NaN,NaN,NaN
1537060,NaN,NaN,NaN
1537061,NaN,NaN,NaN
