Main_PRID,Language,Extracted_PRID,Extracted_Language
1880000,NaN,1879986,English
1880000,NaN,1880030,Urdu
1880000,NaN,1880018,Marathi
1880000,NaN,1880051,Hindi
1880000,NaN,1880024,Bengali
1880000,NaN,1880061,Manipuri
1880000,NaN,1880742,Assamese
1880000,NaN,1880249,Punjabi
1880000,NaN,1880087,Odia
1880000,NaN,1880036,Tamil
1880000,NaN,1880181,Telugu
1880000,NaN,1880119,Kannada
1880000,NaN,1879991,Malayalam
1880001,NaN,1879929,English
1880001,NaN,1879940,Urdu
1880001,NaN,1879965,Marathi
1880001,NaN,1880035,Hindi
1880001,NaN,1879970,Tamil
1880001,NaN,1879994,Kannada
1880002,NaN,1880186,Urdu
1880002,NaN,1880240,Hindi
1880002,NaN,1880078,Tamil
1880003,NaN,1879878,Malayalam
1880003,NaN,1879923,Telugu
1880003,NaN,1879871,English
1880003,NaN,1879900,Urdu
1880003,NaN,1879907,Marathi
1880003,NaN,1879906,Hindi
1880003,NaN,1880009,Manipuri
1880003,NaN,1880211,Assamese
1880003,NaN,1880016,Punjabi
1880003,NaN,1879894,Gujarati
1880003,NaN,1879887,Odia
1880003,NaN,1879959,Tamil
1880003,NaN,1880121,Kannada
1880004,NaN,1879987,English
1880004,NaN,1880028,Urdu
1880004,NaN,1880045,Hindi
1880004,NaN,1880013,Marathi
1880004,NaN,1880059,Manipuri
1880004,NaN,1880210,Assamese
1880004,NaN,1880060,Bengali
1880004,NaN,1880253,Punjabi
1880004,NaN,1880085,Odia
1880004,NaN,1880038,Tamil
1880004,NaN,1880183,Telugu
1880004,NaN,1880111,Kannada
1880004,NaN,1879997,Malayalam
1880005,NaN,1879836,Malayalam
1880005,NaN,1880122,Kannada
1880005,NaN,1879930,Tamil
1880005,NaN,1879960,Odia
1880005,NaN,1879806,English
1880005,NaN,1879904,Urdu
1880005,NaN,1886303,Hindi
1880005,NaN,1880345,Bengali
1880005,NaN,1880740,Assamese
1880005,NaN,1880757,Punjabi
1880005,NaN,1879893,Gujarati
1880005,NaN,1879877,Telugu
1880006,NaN,1880219,Urdu
1880007,NaN,1879968,English
1880007,NaN,1880019,Urdu
1880007,NaN,1880101,Hindi
1880008,NaN,1879968,English
1880008,NaN,1880019,Urdu
1880008,NaN,1880101,Hindi
1880008,NaN,1880007,Tamil
1880010,NaN,1879957,English
1880010,NaN,1880073,Urdu
1880010,NaN,1879989,Marathi
1880010,NaN,1880071,Hindi
1880010,NaN,1880056,Manipuri
