Main_PRID,Language,Extracted_PRID,Extracted_Language
1745000,NaN,1744868,English
1745000,NaN,1745038,Hindi
1745000,NaN,1744941,Marathi
1745000,NaN,1744917,Gujarati
1745001,NaN,1744877,English
1745001,NaN,1744943,Urdu
1745001,NaN,1744929,Hindi
1745001,NaN,1744956,Marathi
1745001,NaN,1744990,Bengali
1745001,NaN,1745010,Manipuri
1745001,NaN,1746316,Assamese
1745001,NaN,1744935,Gujarati
1745001,NaN,1744954,Odia
1745001,NaN,1744951,Tamil
1745001,NaN,1745014,Telugu
1745001,NaN,1744974,Kannada
1745001,NaN,1744937,Malayalam
1745002,NaN,1744927,English
1745002,NaN,1747977,Urdu
1745002,NaN,1750555,Hindi
1745003,NaN,1744934,English
1745003,NaN,1747979,Urdu
1745003,NaN,1744902,Hindi
1745003,NaN,1745092,Telugu
1745004,NaN,1744871,English
1745004,NaN,1745023,Urdu
1745004,NaN,1744931,Marathi
1745005,NaN,1744869,English
1745005,NaN,1745074,Urdu
1745006,NaN,1744791,English
1745006,NaN,1745032,Urdu
1745006,NaN,1744919,Tamil
1745006,NaN,1744938,Kannada
1745007,NaN,1744979,Telugu
1745007,NaN,1744787,English
1745007,NaN,1744895,Urdu
1745007,NaN,1744845,Hindi
1745007,NaN,1744863,Marathi
1745008,NaN,1744760,English
1745008,NaN,1745729,Urdu
1745008,NaN,1744987,Telugu
1745009,NaN,1745072,Urdu
1745009,NaN,1745071,Hindi
1745009,NaN,1745052,Marathi
1745009,NaN,1745343,Manipuri
1745009,NaN,1748210,Bengali
1745009,NaN,1754266,Assamese
1745009,NaN,1745143,Punjabi
1745009,NaN,1745013,Gujarati
1745009,NaN,1745110,Odia
1745009,NaN,1745045,Tamil
1745009,NaN,1745059,Telugu
1745009,NaN,1745080,Kannada
1745009,NaN,1745091,Malayalam
1745011,NaN,1744969,English
1745011,NaN,1745073,Urdu
1745011,NaN,1745057,Marathi
1745011,NaN,1745046,Hindi
1745011,NaN,1748211,Bengali
1745011,NaN,1744995,Punjabi
1745011,NaN,1744977,Gujarati
1745011,NaN,1745117,Odia
1745011,NaN,1745055,Tamil
1745011,NaN,1744992,Telugu
1745011,NaN,1744989,Kannada
1745011,NaN,1744998,Malayalam
1745012,NaN,1745805,Assamese
1745012,NaN,1744952,English
1745012,NaN,1745029,Urdu
1745012,NaN,1744976,Marathi
1745012,NaN,1745033,Hindi
1745012,NaN,1744991,Bengali
1745012,NaN,1745138,Manipuri
1745012,NaN,1744996,Punjabi
1745012,NaN,1744975,Gujarati
1745012,NaN,1745067,Tamil
1745012,NaN,1744988,Telugu
1745012,NaN,1744993,Kannada
1745012,NaN,1744999,Malayalam
1745015,NaN,1744762,English
1745015,NaN,1745028,Urdu
1745015,NaN,1744850,Punjabi
1745015,NaN,1744816,Gujarati
1745016,NaN,1744712,Telugu
1745016,NaN,1744421,English
1745016,NaN,1744499,Marathi
1745016,NaN,1744545,Punjabi
1745016,NaN,1744537,Tamil
1745017,NaN,1744933,Tamil
1745017,NaN,1744936,Kannada
1745017,NaN,1744847,English
1745017,NaN,1744910,Marathi
1745017,NaN,1744907,Hindi
1745017,NaN,1744946,Bengali
1745017,NaN,1745306,Punjabi
1745017,NaN,1744981,Telugu
1745018,NaN,1744471,English
1745018,NaN,1744588,Telugu
1745019,NaN,1744394,English
1745019,NaN,1744487,Marathi
1745019,NaN,1744642,Punjabi
1745019,NaN,1744501,Tamil
1745020,NaN,1744419,English
1745020,NaN,1744538,Punjabi
1745020,NaN,1744562,Tamil
1745021,NaN,1745048,Urdu
1745021,NaN,1745075,Marathi
1745021,NaN,1745116,Hindi
1745021,NaN,1745065,Punjabi
1745021,NaN,1745035,Gujarati
1745021,NaN,1745297,Odia
1745021,NaN,1745106,Tamil
1745021,NaN,1745093,Telugu
1745021,NaN,1745077,Kannada
1745021,NaN,1745083,Malayalam
1745022,NaN,1744797,English
1745024,NaN,1744872,English
1745024,NaN,1744928,Tamil
1745025,NaN,1744884,English
1745026,NaN,1744893,English
1745026,NaN,1744948,Hindi
1745026,NaN,1744930,Tamil
1745026,NaN,1745058,Telugu
1745027,NaN,1744881,English
1745030,NaN,1746317,Assamese
1745030,NaN,1744889,English
1745030,NaN,1745085,Hindi
1745030,NaN,1745076,Marathi
1745030,NaN,1745345,Manipuri
1745030,NaN,1745348,Bengali
1745030,NaN,1744997,Punjabi
1745030,NaN,1744978,Gujarati
1745030,NaN,1745119,Odia
1745030,NaN,1745152,Tamil
1745030,NaN,1745633,Telugu
1745030,NaN,1745482,Kannada
1745030,NaN,1745268,Malayalam
1745031,NaN,1744763,English
1745031,NaN,1744798,Gujarati
1745031,NaN,1744918,Bengali
1745031,NaN,1744855,Tamil
1745031,NaN,1744827,Malayalam
1745034,NaN,1744908,English
1745034,NaN,1747968,Urdu
1745036,NaN,1744922,English
1745036,NaN,1745082,Urdu
1745036,NaN,1745062,Punjabi
1745036,NaN,1744955,Tamil
1745037,NaN,1745084,Malayalam
1745037,NaN,1745051,Urdu
1745037,NaN,1745061,Marathi
1745037,NaN,1745044,Hindi
1745037,NaN,1745111,Punjabi
1745037,NaN,1745041,Gujarati
1745037,NaN,1745108,Tamil
1745037,NaN,1745068,Telugu
1745037,NaN,1745078,Kannada
1745039,NaN,1745095,Telugu
1745039,NaN,1745137,Malayalam
1745039,NaN,1745112,Tamil
1745039,NaN,1745050,Urdu
1745039,NaN,1745201,Hindi
1745039,NaN,1745089,Marathi
1745039,NaN,1745270,Bengali
1745039,NaN,1745228,Punjabi
1745040,NaN,1745212,Bengali
1745040,NaN,1745064,Urdu
1745040,NaN,1745096,Hindi
1745040,NaN,1745161,Marathi
1745040,NaN,1745186,Punjabi
1745040,NaN,1745047,Gujarati
1745040,NaN,1745109,Tamil
1745040,NaN,1745069,Telugu
1745040,NaN,1745079,Kannada
1745040,NaN,1745086,Malayalam
1745042,NaN,1744506,English
1745042,NaN,1744584,Telugu
1745043,NaN,1744932,English
1745043,NaN,1746829,Urdu
1745049,NaN,1744805,English
1745049,NaN,1744851,Urdu
1745049,NaN,1744834,Hindi
1745049,NaN,1744894,Tamil
1745053,NaN,1744967,English
1745053,NaN,1745066,Urdu
1745053,NaN,1745070,Hindi
1745053,NaN,1745063,Punjabi
1745054,NaN,1744697,English
1745054,NaN,1744741,Urdu
1745054,NaN,1744861,Bengali
1745054,NaN,1744838,Punjabi
