Main_PRID,Language,Extracted_PRID,Extracted_Language
1630000,NaN,1629699,English
1630000,NaN,1629827,Hindi
1630000,NaN,1629859,Marathi
1630000,NaN,1629872,Tamil
1630000,NaN,1629812,Telugu
1630001,NaN,1629836,Hindi
1630001,NaN,1629966,Punjabi
1630001,NaN,1629833,English
1630001,NaN,1629853,Marathi
1630001,NaN,1629997,Manipuri
1630001,NaN,1629841,Bengali
1630001,NaN,1630021,Assamese
1630001,NaN,1629886,Gujarati
1630001,NaN,1629895,Odia
1630001,NaN,1629865,Tamil
1630001,NaN,1629882,Telugu
1630001,NaN,1629982,Kannada
1630001,NaN,1629914,Malayalam
1630002,NaN,1629835,English
1630002,NaN,1629887,Marathi
1630002,NaN,1629842,Hindi
1630002,NaN,1629926,Manipuri
1630002,NaN,1629877,Bengali
1630002,NaN,1629964,Punjabi
1630002,NaN,1629898,Odia
1630002,NaN,1629866,Tamil
1630002,NaN,1629893,Telugu
1630002,NaN,1630168,Kannada
1630002,NaN,1629915,Malayalam
1630003,NaN,1629910,English
1630003,NaN,1629959,Hindi
1630003,NaN,1629939,Punjabi
1630003,NaN,1629943,Tamil
1630003,NaN,1629974,Telugu
1630004,NaN,1629821,English
1630004,NaN,1629844,Hindi
1630004,NaN,1629848,Marathi
1630004,NaN,1629889,Bengali
1630004,NaN,1629924,Manipuri
1630004,NaN,1629962,Punjabi
1630004,NaN,1629916,Odia
1630004,NaN,1629863,Tamil
1630004,NaN,1629907,Telugu
1630004,NaN,1630169,Kannada
1630004,NaN,1629897,Malayalam
1630005,NaN,1629901,English
1630005,NaN,1630090,Urdu
1630005,NaN,1629988,Hindi
1630005,NaN,1629953,Marathi
1630005,NaN,1630023,Assamese
1630005,NaN,1629960,Punjabi
1630005,NaN,1629921,Odia
1630005,NaN,1629933,Tamil
1630005,NaN,1629976,Telugu
1630005,NaN,1629927,Malayalam
1630006,NaN,1629606,English
1630006,NaN,1629735,Tamil
1630006,NaN,1629727,Telugu
1630007,NaN,1629615,English
1630007,NaN,1629784,Hindi
1630007,NaN,1629985,Manipuri
1630007,NaN,1629806,Punjabi
1630007,NaN,1629731,Tamil
1630008,NaN,1629613,English
1630008,NaN,1629645,Marathi
1630008,NaN,1629646,Hindi
1630008,NaN,1629935,Manipuri
1630008,NaN,1629791,Punjabi
1630008,NaN,1629698,Odia
1630008,NaN,1629733,Tamil
1630008,NaN,1629701,Telugu
1630008,NaN,1629638,Malayalam
1630009,NaN,1629763,Assamese
1630009,NaN,1629635,English
1630009,NaN,1629756,Marathi
1630009,NaN,1629667,Hindi
1630009,NaN,1629930,Manipuri
