Main_PRID,Language,Extracted_PRID,Extracted_Language
1680000,NaN,1679974,English
1680000,NaN,1680150,Urdu
1680000,NaN,1680106,Marathi
1680000,NaN,1680091,Bengali
1680000,NaN,1680169,Assamese
1680000,NaN,1680036,Punjabi
1680000,NaN,1679993,Gujarati
1680000,NaN,1680003,Tamil
1680000,NaN,1680041,Malayalam
1680001,NaN,1679958,English
1680001,NaN,1680046,Manipuri
1680001,NaN,1679984,Urdu
1680001,NaN,1679976,Hindi
1680001,NaN,1680127,Bengali
1680001,NaN,1680171,Assamese
1680001,NaN,1680075,Punjabi
1680001,NaN,1679981,Tamil
1680001,NaN,1680162,Telugu
1680001,NaN,1679997,Malayalam
1680002,NaN,1679960,English
1680002,NaN,1679978,Gujarati
1680002,NaN,1679989,Urdu
1680002,NaN,1680033,Hindi
1680002,NaN,1679994,Marathi
1680002,NaN,1680177,Assamese
1680002,NaN,1680107,Manipuri
1680002,NaN,1680128,Bengali
1680002,NaN,1680072,Punjabi
1680002,NaN,1680030,Telugu
1680004,NaN,1679986,English
1680004,NaN,1680151,Urdu
1680004,NaN,1680011,Hindi
1680004,NaN,1680060,Manipuri
1680004,NaN,1680131,Bengali
1680004,NaN,1680094,Punjabi
1680004,NaN,1680110,Telugu
1680005,NaN,1680029,Telugu
1680005,NaN,1679933,English
1680005,NaN,1679985,Urdu
1680005,NaN,1679975,Hindi
1680005,NaN,1679992,Marathi
1680005,NaN,1680167,Assamese
1680005,NaN,1680050,Manipuri
1680005,NaN,1680071,Punjabi
1680005,NaN,1679973,Tamil
1680006,NaN,1680153,Urdu
1680006,NaN,1680042,Marathi
1680006,NaN,1680067,Hindi
1680006,NaN,1680093,Bengali
1680006,NaN,1680078,Punjabi
1680006,NaN,1680032,Tamil
1680006,NaN,1680109,Telugu
1680006,NaN,1680040,Malayalam
1680007,NaN,1679708,English
1680007,NaN,1681367,Urdu
1680007,NaN,1679767,Marathi
1680007,NaN,1679822,Assamese
1680007,NaN,1679940,Manipuri
1680007,NaN,1679809,Bengali
1680007,NaN,1679882,Punjabi
1680007,NaN,1679860,Gujarati
1680007,NaN,1679879,Telugu
1680007,NaN,1679738,Malayalam
1680008,NaN,1680116,Telugu
1680008,NaN,1680180,Urdu
1680008,NaN,1680053,Hindi
1680008,NaN,1680526,Manipuri
1680008,NaN,1680076,Punjabi
1680009,NaN,1679928,English
1680009,NaN,1679972,Urdu
1680009,NaN,1679942,Hindi
1680009,NaN,1679962,Marathi
1680009,NaN,1679969,Bengali
1680009,NaN,1680250,Manipuri
1680009,NaN,1679990,Punjabi
1680009,NaN,1679939,Gujarati
1680009,NaN,1680048,Odia
1680009,NaN,1679948,Tamil
1680009,NaN,1679970,Telugu
1680010,NaN,1680115,Telugu
