Main_PRID,Language,Extracted_PRID,Extracted_Language
1780000,NaN,1779624,Malayalam
1780000,NaN,1779620,English
1780000,NaN,1779649,Urdu
1780000,NaN,1779656,Hindi
1780000,NaN,1779672,Marathi
1780000,NaN,1779760,Bengali
1780000,NaN,1779703,Manipuri
1780000,NaN,1780837,Assamese
1780000,NaN,1779829,Punjabi
1780000,NaN,1779636,Gujarati
1780000,NaN,1779732,Odia
1780000,NaN,1779634,Tamil
1780000,NaN,1779697,Telugu
1780001,NaN,1779681,English
1780001,NaN,1779776,Tamil
1780002,NaN,1778913,English
1780002,NaN,1779132,Urdu
1780002,NaN,1779469,Marathi
1780002,NaN,1778942,Hindi
1780002,NaN,1779567,Bengali
1780002,NaN,1779204,Assamese
1780002,NaN,1779853,Manipuri
1780002,NaN,1779054,Punjabi
1780002,NaN,1779052,Gujarati
1780002,NaN,1779538,Odia
1780002,NaN,1780602,Tamil
1780002,NaN,1779972,Telugu
1780002,NaN,1779542,Malayalam
1780003,NaN,1779779,English
1780003,NaN,1779843,Hindi
1780003,NaN,1779871,Marathi
1780003,NaN,1780180,Bengali
1780003,NaN,1780163,Punjabi
1780003,NaN,1779919,Tamil
1780004,NaN,1779926,English
1780004,NaN,1779975,Urdu
1780004,NaN,1779977,Marathi
1780004,NaN,1779950,Hindi
1780004,NaN,1779939,Manipuri
1780004,NaN,1783848,Bengali
1780004,NaN,1787918,Assamese
1780004,NaN,1780170,Punjabi
1780004,NaN,1779958,Odia
1780004,NaN,1779981,Tamil
1780004,NaN,1779997,Telugu
1780004,NaN,1780074,Kannada
1780004,NaN,1779933,Malayalam
1780005,NaN,1779797,English
1780006,NaN,1780015,Tamil
1780006,NaN,1779996,English
1780006,NaN,1780024,Urdu
1780006,NaN,1780040,Hindi
1780006,NaN,1780046,Marathi
1780006,NaN,1780836,Assamese
1780006,NaN,1780010,Manipuri
1780006,NaN,1780224,Bengali
1780006,NaN,1780172,Punjabi
1780006,NaN,1780305,Odia
1780006,NaN,1780081,Telugu
1780006,NaN,1780030,Kannada
1780006,NaN,1780012,Malayalam
1780007,NaN,1779665,English
1780007,NaN,1779772,Hindi
1780007,NaN,1779738,Marathi
1780007,NaN,1779719,Tamil
1780007,NaN,1779709,Malayalam
1780008,NaN,1780062,Telugu
1780008,NaN,1780027,Hindi
1780008,NaN,1779961,English
1780008,NaN,1780028,Marathi
1780008,NaN,1780009,Manipuri
1780008,NaN,1780223,Bengali
1780008,NaN,1779998,Tamil
1780011,NaN,1779987,English
1780011,NaN,1780050,Urdu
1780011,NaN,1780036,Hindi
1780011,NaN,1780278,Marathi
1780011,NaN,1780165,Punjabi
1780013,NaN,1779789,English
1780014,NaN,1779716,English
1780014,NaN,1779867,Tamil
1780016,NaN,1780228,Hindi
1780016,NaN,1780505,Telugu
1780016,NaN,1780351,Tamil
1780017,NaN,1779713,English
1780017,NaN,1780186,Bengali
1780017,NaN,1779863,Tamil
1780018,NaN,1779777,English
1780018,NaN,1779872,Hindi
1780018,NaN,1779922,Tamil
1780019,NaN,1780060,Urdu
1780019,NaN,1780124,Hindi
1780019,NaN,1780032,Manipuri
1780020,NaN,1780058,Urdu
1780020,NaN,1780052,Hindi
1780020,NaN,1780229,Bengali
1780020,NaN,1780037,Manipuri
1780021,NaN,1780070,Urdu
1780021,NaN,1780061,Hindi
1780021,NaN,1780039,Manipuri
1780022,NaN,1779699,English
1780022,NaN,1780059,Urdu
1780022,NaN,1779823,Hindi
1780023,NaN,1779714,English
1780023,NaN,1779866,Tamil
1780025,NaN,1780079,Hindi
1780025,NaN,1780371,Punjabi
1780025,NaN,1780232,Bengali
1780025,NaN,1780311,Urdu
1780026,NaN,1780832,Assamese
1780026,NaN,1780301,Odia
1780026,NaN,1779932,English
1780026,NaN,1779985,Urdu
1780026,NaN,1780116,Marathi
1780026,NaN,1779949,Hindi
1780026,NaN,1779968,Manipuri
1780026,NaN,1780212,Bengali
1780026,NaN,1780167,Punjabi
1780026,NaN,1779989,Gujarati
1780026,NaN,1779978,Tamil
1780026,NaN,1780132,Telugu
1780026,NaN,1779942,Malayalam
1780029,NaN,1779750,English
1780029,NaN,1780184,Bengali
1780029,NaN,1779894,Tamil
1780031,NaN,1779875,English
1780031,NaN,1779908,Hindi
1780031,NaN,1779917,Telugu
1780033,NaN,1780166,Tamil
1780033,NaN,1780104,Malayalam
1780034,NaN,1780243,Urdu
1780034,NaN,1780213,Bengali
1780034,NaN,1780147,Tamil
1780035,NaN,1780199,Manipuri
1780035,NaN,1780230,Bengali
1780035,NaN,1780119,Tamil
1780038,NaN,1780363,Punjabi
1780038,NaN,1780239,Urdu
1780038,NaN,1780080,Marathi
1780038,NaN,1780200,Hindi
1780038,NaN,1780126,Tamil
1780038,NaN,1780067,Malayalam
1780041,NaN,1780066,Urdu
1780041,NaN,1780076,Hindi
1780041,NaN,1780366,Punjabi
1780041,NaN,1780137,Gujarati
1780041,NaN,1780374,Odia
1780041,NaN,1780287,Tamil
1780041,NaN,1780515,Telugu
1780041,NaN,1780090,Malayalam
1780042,NaN,1780431,Manipuri
1780043,NaN,1780789,Urdu
1780043,NaN,1780169,Tamil
1780044,NaN,1780142,Tamil
1780045,NaN,1780793,Urdu
1780045,NaN,1780143,Manipuri
1780045,NaN,1780127,Tamil
1780047,NaN,1780071,Urdu
1780047,NaN,1780102,Hindi
1780047,NaN,1780198,Marathi
1780047,NaN,1780358,Bengali
1780047,NaN,1781191,Assamese
1780047,NaN,1780429,Manipuri
1780047,NaN,1780364,Punjabi
