PDF Number,Course Name,Link
43.pdf,Introductory quantum mechanics,https://drive.google.com/file/d/1M59H-raSLnNWjIgj3zeSzaGZwOaaTNrS/view?usp=sharing
44.pdf,Introduction to Industry 4.0 and Industrial Internet of Things,https://drive.google.com/file/d/1O8iSSevzxNBkJ8-KpOZXo60Yol9XGw8Q/view?usp=sharing
45.pdf,Analysis and Design Principles of Microwave Antennas,https://drive.google.com/file/d/1OhrA5n-kRf_p3jbGCghvdfHzP1Y2h8nB/view?usp=sharing
46.pdf,Cost Accounting,https://drive.google.com/file/d/1OzV8Oc73fYRzjgxZvjkXzRfkkHxYSrpe/view?usp=sharing
47.pdf,Electrical Machines - I,https://drive.google.com/file/d/1PtnI6JwOZIBH81sIvhnHIAaWp6w0Jmy-/view?usp=sharing
48.pdf,Cloud Computing,https://drive.google.com/file/d/1Pzim1x1PHTGE9NXQO8AScDZ5PL8u7H1N/view?usp=sharing
49.pdf,Computational Electromagnetics,https://drive.google.com/file/d/1Qbdq3UE_UxlI0E1M0gaZAgMLesSW0JOt/view?usp=sharing
50.pdf,Rapid Manufacturing,https://drive.google.com/file/d/1TpyG4LHc_DykHI-k6LUMzFZEZzZkWqnA/view?usp=sharing
51.pdf,Basic electric circuits,https://drive.google.com/file/d/1U2zmpHPGerJSSroi5NpX0Xz6B1fMZp4E/view?usp=sharing
52.pdf,Introduction to Fluid Mechanics,https://drive.google.com/file/d/1UcjD6GwgrW351Uz4laMM4h3Wg8hOyEGo/view?usp=sharing
53.pdf,TALE 2: Course Design and Instruction of Engineering Course,https://drive.google.com/file/d/1V4BLtArCkwJmHwKOIif0NftFQi6n_Nyt/view?usp=sharing
54.pdf,Biology for engineers and other non-biologists,https://drive.google.com/file/d/1VT82lK3GeCHVgORmYgwC4zRBun-_98lF/view?usp=sharing
55.pdf,Introduction to Rings and Fields,https://drive.google.com/file/d/1VVwJLW_l8HbqO1tTUKJLHyCrFEga6EOn/view?usp=drive_link
56.pdf,Engineering Mathematics II,https://drive.google.com/file/d/1W35mX_Ya-Teflrg6pjRthplIi_eJrGhz/view?usp=sharing
57.pdf,Introduction to Operating Systems,https://drive.google.com/file/d/1WG0luo7dz790SYGEbJTInxhNDV68t_dK/view?usp=sharing
58.pdf,Non-Conventional Energy Resources,https://drive.google.com/file/d/1WhL-BYrxzdQe3i9IrX3z5FFx6yyHPPwD/view?usp=sharing
59.pdf,Employment Communication - A Lab based course,https://drive.google.com/file/d/1Wq3EjYCT3dMDnWK8FlPioKFC-zCPYYwX/view?usp=sharing
60.pdf,Disaster Recovery and Build Back Better,https://drive.google.com/file/d/1WwgdR8Yp-rUOxcLzcGUn7UGRqXvY_Vzm/view?usp=sharing
61.pdf,Engineering Metrology,https://drive.google.com/file/d/1YnDDcWv8KY2xobcNjRzy10feKVRjFUaF/view?usp=sharing
62.pdf,Electrical Distribution System Analysis,https://drive.google.com/file/d/1Z7x_BsxbYrkx59MobCXOLaElTT1jV3TT/view?usp=sharing
63.pdf,Structural Dynamics for Civil Engineers - SDOF systems,https://drive.google.com/file/d/1Zp7f5qWTn6tmW2_Ct_t1ze_QcznQMTCa/view?usp=sharing
64.pdf,Introduction to Internet of things,https://drive.google.com/file/d/1_v1xPBydAW6T4U58xh0yn45t1y8iXyXl
65.pdf,Fundamentals of Gas Dynamics,https://drive.google.com/file/d/1aTSO3HUl61xVZiwIYqOHpdirWj698Cup/view?usp=sharing
66.pdf,Basic Electronics,https://drive.google.com/file/d/1aVN44akMtAnx8m769zCR3ZGgu_xFNJ2F/view?usp=sharing
67.pdf,"Programming, Data Structures and Algorithms",https://drive.google.com/file/d/1csrVsangMYb4b1LwkDJvRfG2Vy3wOtfD/view?usp=drive_link
68.pdf,Introductory Organic Chemistry I,https://drive.google.com/file/d/1cxNa7WvlfO6g0v1kq-ZvN6xi1xWX6PtY/view?usp=sharing
69.pdf,Brief Introduction to Psychology,https://drive.google.com/file/d/1dzLzOoJmon0WoUbssl6PaVAAf_qeHFs0/view?usp=sharing
70.pdf,Design of Masonry Structures,https://drive.google.com/file/d/1elv4XbZ3m6IsjTI1ldrAerZ4Krtbmgxj/view?usp=sharing
71.pdf,Introduction to Soft Computing,https://drive.google.com/file/d/1eyMEAw3lrnNkrq222REugzYHi4NpdsK8/view?usp=sharing
72.pdf,MCDM Techniques Using R,https://drive.google.com/file/d/1fHXJYJ1eDIrakGVzY6kBZ3dDg-mGIzvI/view?usp=sharing
73.pdf,BioInformatics: Algorithms and Applications,https://drive.google.com/file/d/1fS_zbQiCa-VQMBIXYNy3iXRQ8spp1gwN/view?usp=sharing
74.pdf,Power System Engineering,https://drive.google.com/file/d/1ffPkAhDbQNm3bGXfuLMRmwaU2gaVmWqQ/view?usp=sharing
75.pdf,Design Practice,https://drive.google.com/file/d/1fzJETTIAgZFDpNF8eVAju_D2NNu8ChOH/view?usp=sharing
76.pdf,Engineering Mechanics Statics and Dynamics,https://drive.google.com/file/d/1gD4gWb8jda2GrP1mID09SwG7H1kpSK5w
77.pdf,Software Testing,https://drive.google.com/file/d/1gJPmBOYy1SOKKlhZT8QG-1FcQNJhHoNB/view?usp=sharing
78.pdf,Teaching And Learning in Engineering (TALE),https://drive.google.com/file/d/1gqSzCM5PQd3KpZX1PN4t9FZWeY2elB0C/view?usp=drive_link
