PDF Number,Course Name,Link
44.pdf,Design of Steel Structures,https://drive.google.com/file/d/1FPRJxvwzz3G5yjSm3s6sqfG4DFV0GUNt/view?usp=sharing
45.pdf,"Integrated Circuits, Mosfets, OP-Amps and their Applications",https://drive.google.com/file/d/1GIdgehvRg8TRF0TO8965vli0K1zUS4QX/view?usp=sharing
46.pdf,Fundamentals of Database Systems,https://drive.google.com/file/d/1GLmBfD2zXWkPz6uqm4-UIInFGiONf-Od/view?usp=sharing
47.pdf,Training of Trainers,https://drive.google.com/file/d/1GogrnxX8gHI59jnJClQocMBo0UMVgPvs/view?usp=sharing
48.pdf,Embedded System Design with ARM,https://drive.google.com/file/d/1HdmgecUyFnTEMr7u6IuzvWd0UuAzW79S/view?usp=sharing
49.pdf,Object-Oriented Analysis and Design,https://drive.google.com/file/d/1INQgFcbXVzHpjGbP2Hw8S0dOi69F-6Sm/view?usp=drive_link
50.pdf,Soft Skill Development,https://drive.google.com/file/d/1J-7d7_GDzy8Bk26hDOi6kjLbPbBA6KZZ/view?usp=sharing
51.pdf,Earth Sciences for Civil Engineering,https://drive.google.com/file/d/1JP0h-GBP9OV-utviVULucbLoG8X0BJGO/view?usp=sharing
52.pdf,Microwave Theory and Techniques,https://drive.google.com/file/d/1JgtlObmWm51G1j_-73ot9D2LSl8A5-QR/view?usp=sharing
53.pdf,Brief Introduction to Psychology,https://drive.google.com/file/d/1K6friackiS8nwKbTYl-i5HOXtdGZX5Gc/view?usp=sharing
54.pdf,Stereochemistry,https://drive.google.com/file/d/1Kb4bvPkL6CZecbi-1uewvF-P3h4S8LSE/view?usp=sharing
55.pdf,Plant Developmental Biology,https://drive.google.com/file/d/1KdCW2zcHPsWpzbakhqq-YMTUtbbI0hZu/view?usp=sharing
56.pdf,Design and Simulation of DC-DC converters using open source tools,https://drive.google.com/file/d/1KvIv33nWysB4nvuzpLCdFUVSL_RYiV2K/view?usp=sharing
57.pdf,Experimental Physics - II,https://drive.google.com/file/d/1LZORg1MQrQcHhG_MK7tAVVsgmm7HoDst/view?usp=sharing
58.pdf,Privacy and Security in Online Social Media,https://drive.google.com/file/d/1Litks7768A0pcyQjc7iAZKW_9Axkq7qp/view?usp=sharing
59.pdf,Applied Linguistics,https://drive.google.com/file/d/1LrIr3Z61pqYX3l4DxlNuMIbkW9nb9QRY/view?usp=sharing
