PDF Number,Course Name,Link
44.pdf,Differential equations for engineers,https://drive.google.com/file/d/1TVb3mQWsIrd2IgkSlaFRyKgEH9O0A7CS/view?usp=sharing
45.pdf,Design Thinking - A Primer,https://drive.google.com/file/d/1UAXZFNPfz-UogFbQex8G-7Cme38F4rBK/view?usp=sharing
46.pdf,Cryptography and Network Security,https://drive.google.com/file/d/1USR3Zh8a4SdepGb7J9Qkp73ToDZQ-NOG/view?usp=sharing
47.pdf,Design for internet of things,https://drive.google.com/file/d/1UePejf6pthVmgN8wHWCa_wovki2MyDKC/view?usp=sharing
48.pdf,Design and Simulation of DC-DC converters using open source tools,https://drive.google.com/file/d/1Xcnfkd1LOQpcvPCKMwrLpx28VZgy2hkB/view?usp=drive_link
49.pdf,Experimental Physics I,https://drive.google.com/file/d/1Xkk9WcM_HG1z1ylefCx41Yl2VlzY3fS9/view?usp=sharing
50.pdf,Electrical Distribution System Analysis,https://drive.google.com/file/d/1XwDoxnyD7_2U6PRo9nv_YNy8DHL2MC3f/view?usp=sharing
51.pdf,Analysis and Design Principles of Microwave Antennas,https://drive.google.com/file/d/1Y-6EGRCtJLl2u2trHUeVCTZf82jVpTMK/view?usp=drive_link
52.pdf,Brief introduction to Psychology,https://drive.google.com/file/d/1Y9iHpS4lcLnDdNT8kInIDrsgRHamDoy3/view?usp=sharing
53.pdf,Managing Intellectual Property in Universities,https://drive.google.com/file/d/1YKNU11VkArm1oi0OouJ8B9B67I_cUXY6/view?usp=sharing
54.pdf,Programming in C++,https://drive.google.com/file/d/1YvSjlV4KvlFSQgMa_aEUcqSW98zI43Pl/view?usp=sharing
55.pdf,Privacy and security in Online Social Media,https://drive.google.com/file/d/1Z4-YDBXDHLXkwJC5Fhm4A6VtYoIqun2Z
56.pdf,Principles of Human Resource Management,https://drive.google.com/file/d/1Z4AnIdp_fiGyhnteycPTuR70fpw7y_fI/view?usp=drive_link
57.pdf,Power system analysis,https://drive.google.com/file/d/1ZAYpclDKoDcLp0K0LmCDKzpmolN98MmP/view?usp=drive_link
58.pdf,Waves and Oscillations,https://drive.google.com/file/d/1ZV5j9QPgBYQ2aHpB2KcTtwdS86ybV2a5/view?usp=sharing
59.pdf,Design and Analysis of Algorithms,https://drive.google.com/file/d/1ZYT19Q_hwS8OwPw-knIt-NQKazsbrBXr/view?usp=sharing
60.pdf,Cloud Computing,https://drive.google.com/file/d/1_7vFyqSqwwCMSpwr1Dw_3rzI5zs14HN2/edit
61.pdf,Humanities and Social Sciences,https://drive.google.com/file/d/1_KUMJMh8mwk9FS2lOXNJ0-h1B9nGBxpQ/view?usp=sharing
62.pdf,Rapid Manufacturing,https://drive.google.com/file/d/1_lAUieF2ZdS0kzPbPO842wLYb82kIs2d/view?usp=drive_link
63.pdf,Introduction to operating systems,https://drive.google.com/file/d/1_mqMPzdiF3_ofZt6m9_b9UmDJCa9PJB4/edit
64.pdf,Product design and development,https://drive.google.com/file/d/1a-UqXY3j7d_QPteYaXUztSU5l-dgE2TF/edit
65.pdf,Psychology of Everyday,https://drive.google.com/file/d/1aL49y2cTr9-loOav2cy7oHbBcJTJlJrw/view?usp=sharing
66.pdf,Non-Conventional Energy Resources,https://drive.google.com/file/d/1blBp0tBTsJcn3FSY6v_z0wuuY5KrfMqG/view?usp=sharing
67.pdf,Biology for Engineers and other Non-Biologists,https://drive.google.com/file/d/1bnAq4HrCtrzxowpV9VI2OFC8WRYBszEx/view?usp=sharing
68.pdf,Biology for Engineers and other Non-Biologists,https://drive.google.com/file/d/1bnAq4HrCtrzxowpV9VI2OFC8WRYBszEx/view?usp=sharing
69.pdf,Structural Dynamics for Civil Engineers - SDOF systems,https://drive.google.com/file/d/1cGQZyCiTILhAjg8Uo0VN_Z_D4PY9Wct4/view?usp=sharing
70.pdf,Bio-Reactors,https://drive.google.com/file/d/1cgZRAiHYFwkDuvfo-K1mQmT9q2UPLi71/view?usp=sharing
71.pdf,Cell Culture Technologies,https://drive.google.com/file/d/1dKi5HgvvtzFB1gyOyg3S5-861CUFrive/view?usp=sharing
