PDF Number,Course Name,Link
49.pdf,Embedded System Design with ARM,https://drive.google.com/file/d/16RVmO4e34lgRpF1A5KptEznVpsac2Va-/view
50.pdf,Management Information System,https://drive.google.com/file/d/16WQO04CNTgv0D236HTnEmrmF1DLx1MGW/view
51.pdf,"Geoenvironmental Engineering (Environmental Geotechnology): Landfills, Slurry Ponds & Contaminated Sites",https://drive.google.com/file/d/16Y7hRSW9BppOSml31wdgsi_K1mWszaKt/view
52.pdf,Variational Calculus and its applications in Control Theory and Nanomechanics,https://drive.google.com/file/d/16bm79hz0GNKMTfNkf7xvDaIIzU_reV5m/view?usp=drivesdk
53.pdf,VLSI Technology,https://drive.google.com/file/d/16njn7nutTYMExqGtNlWol1T2aPHmoBVU/view
54.pdf,Pattern Recognition and Application,https://drive.google.com/file/d/16t-xUtTPl8twX9fEdXu8S98ZVmr5cq7a/view
55.pdf,Talent Acquisition and Management,https://drive.google.com/file/d/17-XhKcbVhaGAI15U0p4y_CRd7fHNnR4p/view?usp=drivesdk
56.pdf,Modeling of tundish steelmaking process in continuous casting,https://drive.google.com/file/d/1719_wBDpZkb0S0jx4U2zl3pGLorCLBId/view?usp=drivesdk
57.pdf,Introduction to algorithms and analysis,https://drive.google.com/file/d/173gJuDhY2reWG7qH9ylJs65dWF4LTGru/view
58.pdf,Body Language: Key to Professional Success,https://drive.google.com/file/d/179PJxj0ePx6YvR4AnCN36DJ0Yzi52bdD/view
59.pdf,Computational Science and Engineering Using Python,https://drive.google.com/file/d/17C04IUH-TctxGcQsa36NmVjvlNIG0yvQ/view
60.pdf,Introduction to Industry 4.0 and Industrial Internet of Things,https://drive.google.com/file/d/17CPu--DdQHwUGzcbjDdNZbEcvHQ56-Cf/view
61.pdf,Work System Design,https://drive.google.com/file/d/17HuBhzpbmAPxp2LbUPAWrjd_FAHXu9Ab/view
62.pdf,Equipment Design : Mechanical Aspects,https://drive.google.com/file/d/17YsiJuq4ab2LiVi2gswh8wjZKiLl-YhG/view
63.pdf,Nonlinear programming,https://drive.google.com/file/d/17a1yOJDqCQJUZdmwQyTsYlwaeZ653s-w/view
64.pdf,Introducing Modern Western Art Movements and Artists,https://drive.google.com/file/d/17hU2TcBOoRnRGVeYhdJYtb2RN6PrCtDM/view
65.pdf,Neuroscience of Human Movement,https://drive.google.com/file/d/17jay0Jig-gbQi_24XZm8A1p9v-UYKMzS/view
66.pdf,"High Power Multilevel Converters- Analysis, design and operational issues",https://drive.google.com/file/d/17jyY7ubqzYyIFkN4-pqHg7HsQ2MVbqm_/view?usp=drivesdk
67.pdf,Supply Chain Analytics,https://drive.google.com/file/d/17kajJwu9txJFU8vivIAs4dO9rdLz4AFM/view
68.pdf,Phase equilibrium thermodynamics,https://drive.google.com/file/d/17lOCT7rykGM4SRxCDP91BibakPT2U6fb/view
69.pdf,Product Design and Development,https://drive.google.com/file/d/17n-wvNB2vMwvEZaQPJuI728MKZpF4SJA/view
70.pdf,Robotics and Control : Theory and Practice,https://drive.google.com/file/d/17rDJoZQ6wCXgUzYrgFhvP_35ctbcqXRc/view?usp=drivesdk
71.pdf,Technologies for clean and renewable energy production,https://drive.google.com/file/d/17vQiXJkTt9PqV8emokFJuCgiptyhonxr/view
72.pdf,Training of Trainers,https://drive.google.com/file/d/17y0A2lm6yNsa86EUwMM2Dn9iyBefGTE8/view
73.pdf,Heat Transfer and Combustion in Multiphase Systems,https://drive.google.com/file/d/184R61hYzETZkYiui9S5LkGrApYsXz81X/view
74.pdf,Riemann Hypothesis and its Applications,https://drive.google.com/file/d/18Mo9pIzqiUMr6KeVylJo6ZuTdovmrlVZ/view
75.pdf,Organo Metallic Chemistry,https://drive.google.com/file/d/18TMabWLRdgkVMjdJVjsIKNjsV9Q25i-z/view
76.pdf,Computational Fluid Dynamics,https://drive.google.com/file/d/18YRfZkykPW-1WEq7ClaO3gdTD6GIO9R1/view
