PDF Number,Course Name,Link
43.pdf,Privacy and Security in Online Social Media,https://drive.google.com/file/d/1PTrR22yH5VdItERO_A7But3T6P8-aP0O/view?usp=sharing
44.pdf,How the Brain creates the Mind,https://drive.google.com/file/d/1PoCjXWV8k7xjplQLYVl1cR511Cn4tKpL/view?usp=sharing
45.pdf,Language and Mind,https://drive.google.com/file/d/1PtmIn7Bk8t1w53IDn-FmuYyT_78PT1yV
46.pdf,Basic Electrical Circuits,https://drive.google.com/file/d/1QGoaX8AsVAgcmsmF3kkglYBRrJ_FweQa/view?usp=drive_link
47.pdf,Psychology of Everyday,https://drive.google.com/file/d/1Qjnu2rkK8Fjy0tx6rGtwH5C4cdAGY3jS/view?usp=sharing
48.pdf,Database Management System,https://drive.google.com/file/d/1RH0tNy5IsU5oPaYj4EIR5g9KzcLeQoP0/view?usp=drive_link
49.pdf,Software Project Management,https://drive.google.com/file/d/1TsfgODcI2p2UE3Cktcropu3yGfD7IDI0/view?usp=sharing
50.pdf,Fundamentals of database systems,https://drive.google.com/file/d/1UTFcs8oVYRHC6inDgXKy82ufCbof_kl7/view?usp=sharing
51.pdf,"Machine Learning, ML",https://drive.google.com/file/d/1W1Yko2U8FXXqjXxMq2tK3rvXWpRLrLue/view?usp=drive_link
52.pdf,Soft Skill Development,https://drive.google.com/file/d/1WVnUDkxwbX7OEkImvcU5KFsUvYx3zMHa/view?usp=drive_link
53.pdf,Basic Tools of Microwave Engineering,https://drive.google.com/file/d/1X3q3z4Hy9L4gVWq8R3NOh4yd5m4Wwsuu/view?usp=sharing
54.pdf,Waves and Oscillations,https://drive.google.com/file/d/1YUHeCClQnu1NKGsIqcI-RibxUn6UKQQZ/view?usp=sharing
55.pdf,Cost Accounting,https://drive.google.com/file/d/1YtfnvZm792PeUiofn2omzup6FypgCID8/view?usp=sharing
56.pdf,Design and analysis of algorithms,https://drive.google.com/file/d/1Z18I5v4kWN4MihLc6Ye22Tnj55q6Uu62/view?usp=sharing
57.pdf,Training of Trainers,https://drive.google.com/file/d/1ZUrxvaLYsUbCTY6MyWV74b7GqkEO2mWm/view?usp=sharing
58.pdf,Basic Principles and Calculations in Chemical Engineering,https://drive.google.com/file/d/1_hUp2mZ_dL60on2iS3Hhly3DS2uLSP5v/view?usp=sharing
59.pdf,"Programming, Data Structures And Algorithms Using Python",https://drive.google.com/file/d/1c9hqdCcJ3eDp5zKp57R67f2TjLIeGN8P/view?usp=sharing
60.pdf,Brief introduction to Psychology,https://drive.google.com/file/d/1cADx_V9AMFw9Y6HttFvq0kaLRqhARSBe/view?usp=sharing
61.pdf,Cell Culture Technologies,https://drive.google.com/file/d/1cB3JN3Zm2CJCVIdxF0DyEnotxUZpNtQz/view?usp=sharing
62.pdf,Fundamentals of Electrical Engineering,https://drive.google.com/file/d/1dOvdbsA7BCBG1cVufMSmQbRrhND3CgJD/view?usp=sharing
63.pdf,VLSI Physical Design,https://drive.google.com/file/d/1dZ6C8VaSBlFN-alahoCzEBFyZRyAG-h9/view?usp=sharing
64.pdf,Advanced Topics in the Science and Technology of Concrete,https://drive.google.com/file/d/1djXaYH5mmUZRqBaZGLWkpqQrZnfCpPpY/view?usp=sharing
65.pdf,Farm Machinery,https://drive.google.com/file/d/1eA5UzNGGfHGeifwlc-9oddgOCItKSbPq/view?usp=drive_link
66.pdf,Stereo Chemistry,https://drive.google.com/file/d/1e_o2Gkzvocc0h2DKFa6qMVbkLL7OUGFd/view?usp=sharing
67.pdf,Disaster Recovery and Build Back Better,https://drive.google.com/file/d/1f5SUli02SKuRk96AW3amo-lKBWGVGPmI/view?usp=sharing
68.pdf,Introduction to Electromagnetic Theory,https://drive.google.com/file/d/1fRUARDMeCSlr_w_h7hBjgPybZN4O88AA/view?usp=sharing
69.pdf,Introduction to Fluid Mechanics,https://drive.google.com/file/d/1gfhqiW0fIxSTg0N6TFo7AjH3szUv92Ui/view?usp=drive_link
70.pdf,Information Security - 5 - Secure Systems Engineering,https://drive.google.com/file/d/1ghrrrRhXxcntwe6sJfBXGc4R-RxsqlyZ/view?usp=sharing
71.pdf,Experimental Physics I,https://drive.google.com/file/d/1gmLY-QVygDFwFmAAnrE0MCjqUJtn-5j2/view?usp=sharing
72.pdf,Disability Studies: An introduction,https://drive.google.com/file/d/1hCEXRFrvs5ghOebJoHWYGz2Js51NgnXX/view?usp=sharing
73.pdf,Introduction to Programming in C,https://drive.google.com/file/d/1ha8WWyuPJWn4nTIp0Nj4LaU6Pi7bLsaF/view?usp=sharing
74.pdf,Managing Intellectual Property in Universities,https://drive.google.com/file/d/1hve3k_jvVaQAZXczRKMk4xm_DD9Or6rr/view?usp=sharing
75.pdf,Teaching And Learning in Engineering (TALE),https://drive.google.com/file/d/1iLqHxMPszoOGHFFu1ud3UcDReZj8KiSe/view?usp=sharing
76.pdf,Introduction to Rings and Fields,https://drive.google.com/file/d/1ieJSUv9W8GBonmsle1EdlJB7cIEtnxWn/view?usp=sharing
77.pdf,The Joy of Computing using Python,https://drive.google.com/file/d/1ijTuMaRyn2UQaIAGWu4iBpYPWqY5_03H/view?usp=sharing
78.pdf,Electrical Distribution System Analysis,https://drive.google.com/file/d/1l1VKBRSV8SlgjifWQIWYBMj0rWWeRwHA/view?usp=sharing
79.pdf,Engineering drawing and computer graphics,https://drive.google.com/file/d/1lXVJNpa7kDFyFL6SQFSClucAr_zK_94y/view?usp=sharing
80.pdf,Design for internet of things,https://drive.google.com/file/d/1m9mCebUbsmg8csHv-p8uM71dGs9Nz1Zw/view?usp=sharing
81.pdf,Integral Transforms and their Applications,https://drive.google.com/file/d/1n-4YNG3SL5_aHL_DfkOsdPu6mW8jHJUH/view?usp=drive_link
82.pdf,Product Design and Development,https://drive.google.com/file/d/1nq0F67-6Stl9vWtttXHY3IBJ4sTUte_w/view?usp=drive_link
83.pdf,Digital Electronic Circuits,https://drive.google.com/file/d/1obagWi7KVHofDR5CvaQSb1nW5PJqMEcE/view?usp=drive_link
84.pdf,Analysis and Design Principles of Microwave Antennas,https://drive.google.com/file/d/1ownoMYyd90pE4__Vkik5IQkwqn0ArbQz/view?usp=sharing
85.pdf,Infrastructure Planning and Management,https://drive.google.com/file/d/1p-e80fg4YO8HNfnrfR5MlSipNXMxBB3W/view?usp=sharing
86.pdf,Principles of Signals and Systems,https://drive.google.com/file/d/1p3ntTQbLnXsuZHRG-mfRq0wmQ_RxTYUA/view?usp=drive_link
87.pdf,Introduction to Internet of Things,https://drive.google.com/file/d/1pBAzxpKdZIHQ42B8XO3-ki4MB1M4c4ot
88.pdf,Engineering mathematics - I,https://drive.google.com/file/d/1qFBevR53nlgVVHFoc5rfIdG7AjqbCA79/view?usp=sharing
89.pdf,Financial Accounting,https://drive.google.com/file/d/1qTWmnFQsq3dwohdFKRtvOZfpRDWDxwda/view?usp=sharing
90.pdf,Health research Fundamentals,https://drive.google.com/file/d/1qZ05MA1LOP_vD_kd6zabszlRoCl_6ik7/view?usp=sharing
91.pdf,Object-Oriented Analysis and Design,https://drive.google.com/file/d/1rPT8KrEBHhHshZmXFiHmsauE9-9wA0Jb/view?usp=drive_link
92.pdf,Introduction to Psychology,https://drive.google.com/file/d/1rUiQTWD_nZfiRFFIs-mi9Cm-yDTsnOcJ/view?usp=sharing
93.pdf,Soft Skill Development,https://drive.google.com/file/d/1s1gq3CYe1nwAZ01Dmyi-WQ_1n7sq7Dhr/view?usp=drive_link
94.pdf,Manufacturing systems technology part II,https://drive.google.com/file/d/1sd3z2RgRX1wDFSk8CtIjWsRDYhMv-m0H/view?usp=sharing
95.pdf,Engineering fracture mechanics,https://drive.google.com/file/d/1slIkXZ0IY7H4kytd9wK9NkdCHLD40c-z/view?usp=sharing
96.pdf,Non-Conventional Energy Resources,https://drive.google.com/file/d/1sv5PHIz86lzt2Ra4tfmVIA8E1wQpNjpu/view?usp=sharing
97.pdf,Introductory quantum mechanics,https://drive.google.com/file/d/1swhFn7dVr8Ri0Xqkj7Hae6wlpNxtCYFo/view?usp=sharing
98.pdf,Engineering Mechanics:Statics and Dynamics,https://drive.google.com/file/d/1sxfGwe-5PZBZlLR5YelkzrGVpZlzugxB/view?usp=sharing
99.pdf,Introduction to Mineral Processing,https://drive.google.com/file/d/1t2QfFuVuCezKSR8XPljfnbKlasYs6c6J/view?usp=sharing
100.pdf,Bioreactors,https://drive.google.com/file/d/1u1sq3CavUbYdmEH5KQQVo7gg6CGwXeTm/view?usp=sharing
101.pdf,Differential equations for engineers,https://drive.google.com/file/d/1uGarljnduPvhzsalasajLzoE4iicf2d6/view?usp=sharing
102.pdf,TALE 2: Course Design and Instruction of Engineering Course,https://drive.google.com/file/d/1uVc8tahmdX0Qj32GOpffIyc1gG1oDtMw/view?usp=sharing
103.pdf,Engineering Mathematics II,https://drive.google.com/file/d/1uiohXXftxWigQ4RiT5AY3BEY671axgUx/view?usp=sharing
104.pdf,Programming in C++,https://drive.google.com/file/d/1xDi14pY3M_pD9Ni9vU_p2SG4m0Zc0Qdl/view?usp=sharing
105.pdf,Design and Simulation of DC-DC converters using open source tools,https://drive.google.com/file/d/1xW_nRdZ6DkgmoU-QmGTRmaZ035RHt3su/view?usp=sharing
106.pdf,"Programming, Data Structures And Algorithms Using Python",https://drive.google.com/file/d/1xdgH-BJuG8dYkXE0BMvRlAlyiySf7KzT/view?usp=sharing
107.pdf,Energy conservation and waste heat recovery,https://drive.google.com/file/d/1xvplssgLu4ZK4eYCejqeFcgkO1gqQ7QS/view?usp=sharing
108.pdf,Aircraft Design,https://drive.google.com/file/d/1y6-fTwvbt1PYNdml--kTcNFe9Dd_BQv_/view?usp=drive_link
109.pdf,Structural Dynamics for Civil Engineers - SDOF systems,https://drive.google.com/file/d/1z6o107zUQ_sby8xzqF5A9KrB_H5SVUHe/view?usp=sharing
110.pdf,Design and Simulation of DC-DC converters using open source tools,https://drive.google.com/file/d/1zk2E6tfDHJ8sW_xUC9bLKt6s3R14nS1t/view?usp=sharing
