PDF Number,Course Name,Link
44.pdf,Disaster Recovery and Build Back better,https://drive.google.com/file/d/1G4n0BxHCGJDuXn3XaN4C5ViSVsUWZgjW/view?usp=sharing
45.pdf,Transport phenomena,https://drive.google.com/file/d/1GKwLv1mj1mrTf6uMyqwhAiU64NW3SocA/view?usp=drive_link
46.pdf,Bioreactors,https://drive.google.com/file/d/1GQIabEfrfQbW2JBIC-BGJg_TVMDodLeA/view?usp=sharing
47.pdf,Advanced Concrete Technology,https://drive.google.com/file/d/1GoUlCxqlNBDCJJzH17uIX2lF4k2FeECV/view?usp=drive_link
48.pdf,Appreciating Linguistics: A Typological Approach,https://drive.google.com/file/d/1Gx6BioHSVRAQiSJI7-TWjBtCmthnXBhh/view?usp=sharing
49.pdf,Manufacturing systems technology part II,https://drive.google.com/file/d/1H_GxWxN3dF9od722q2qjQkGEUp2vbDND/view?usp=sharing
50.pdf,Gender Justice and Workplace Security,https://drive.google.com/file/d/1H_WzBkpXxlhorYXr0wL_gCRK621GZDMI/view?usp=sharing
51.pdf,Geomorphic Processes: Landforms and Landscapes,https://drive.google.com/file/d/1HkPb_MP2HhfwIibuggIO-C76WHTyqDah/view?usp=sharing
52.pdf,Metals in Biology,https://drive.google.com/file/d/1HxXB44zBMNu532qD4vVv71HbGDYtDiAU/view?usp=sharing
53.pdf,Recent Advances in Transmission Insulators,https://drive.google.com/file/d/1IGBGPOynxyFiZU49jXdCKrQHWy9S0L7N/view?usp=sharing
54.pdf,Introductory Organic Chemistry - I,https://drive.google.com/file/d/1Ibm5Hu2svk_DrJvd4Tfny08NU5D-g4O9/view?usp=sharing
55.pdf,Design Practice,https://drive.google.com/file/d/1Ic04GigM-3f2BZfLYtGQ2GP0eG7m9DSB/view?usp=sharing
56.pdf,Design of photovoltaic systems,https://drive.google.com/file/d/1Ip9OMgQyIEo4uXoEg0HjCxT1qztRtY37/view?usp=sharing
57.pdf,Design Thinking - A Primer,https://drive.google.com/file/d/1JY1oNwdSA3_zITJKWZDOmUXTnjwNzUXA/view?usp=sharing
58.pdf,Power System Analysis,https://drive.google.com/file/d/1K-jdBRJPNXn0WCARRGxudanRigu7-zYo/view?usp=sharing
59.pdf,Analog Circuits,https://drive.google.com/file/d/1KDUAFgi9NkvRtU2BZE-NqBmgYaLykbFa/view?usp=sharing
60.pdf,Power electronics,https://drive.google.com/file/d/1KgTbgkcj0QGo7e843lBnknr56oZkrT2R/view?usp=sharing
61.pdf,Language and Mind,https://drive.google.com/file/d/1Kl2upvD6-qyf1wzDthP2Nkrp4mt06O6W/edit
62.pdf,Computer Aided Drug Design,https://drive.google.com/file/d/1Ld6KLX7Os2NFgg8X3bnRdsO-eSYPrBfi/view?usp=sharing
63.pdf,A brief introduction of Micro - Sensors,https://drive.google.com/file/d/1LdZDSYy-5pPiSFubKvM3ET6HrMBNrc61/view?usp=sharing
64.pdf,Rapid Manufacturing,https://drive.google.com/file/d/1MElvL-az3U4ooHF8HyUBHRPGsn7aI6O7/view?usp=sharing
65.pdf,Applied Thermodynamics for Engineers,https://drive.google.com/file/d/1MGYqznB3uiekrayu4phserhBoH3gpCLE/view?usp=sharing
66.pdf,"Op-Amp Practical Applications: Design, Simulation and Implementation",https://drive.google.com/file/d/1MkhnM6y1DhnED9k9FsAhahGgGJx6cC7K/view?usp=sharing
67.pdf,Employment Communication - A Lab Based Course,https://drive.google.com/file/d/1MxsOzaoiSzqmDSsaAQ5GPpW5VBdcQIbd/view?usp=sharing
68.pdf,Reactive Intermediates Carbene and Nitrene,https://drive.google.com/file/d/1N2EAL90o0QMfxYQodButPnKNv4HTBibi/view?usp=sharing
69.pdf,Introduction to Internet of Things,https://drive.google.com/file/d/1NFPBrWkUwPGx1gfmWNKsmDkRRVyP7aYI/view?usp=sharing
70.pdf,Introduction to Mechanobiology,https://drive.google.com/file/d/1NM6HIPOIXM3-LrrnOiDZ72XixZsL-64t/view?usp=sharing
71.pdf,Ecology and Environment,https://drive.google.com/file/d/1NfXJ5AW-JaNq8aj3xHLpe967bVpmlhsZ/edit
72.pdf,Sociology of science,https://drive.google.com/file/d/1NgJcvOZ4vtkwrliNpv3KX6PMOBnUzazy/edit
73.pdf,Microwave Theory and Techniques,https://drive.google.com/file/d/1Ny5KSL6Ibv9vIY-CyX-Zi3167I_s67Zc/view?usp=sharing
74.pdf,Integral Transforms and their Applications,https://drive.google.com/file/d/1OVCMNBzHnq8aJyCMVQ_EsovjuVvj7QGm/view?usp=sharing
75.pdf,Managing Services,https://drive.google.com/file/d/1Ok8Ogy4mAxohWcGjWxauhr6oYp6U-vga/view?usp=sharing
76.pdf,Digital Electronic Circuits,https://drive.google.com/file/d/1OnPxfUGyiaeqPQU_ENkMbACJZ1WQLpxD/view?usp=sharing
77.pdf,Marketing research and analysis,https://drive.google.com/file/d/1Os47g-uxLNpTFLkcS1tuHUT9r5bfTdKn/view?usp=sharing
78.pdf,Engineering Mechanics,https://drive.google.com/file/d/1P1RVafz3yBOS3cVDhQjfp87AVE7CMgE5/view?usp=sharing
79.pdf,Environmental Geotechnics,https://drive.google.com/file/d/1PCl0wm1CylQ8RbJXaEWdeIvPJPxTvU5h/view?usp=sharing
80.pdf,Introduction to Research,https://drive.google.com/file/d/1PMtX_5VjOP9U7Y83L08a6woSAYB31wY8/edit
81.pdf,The Joy of Computing using Python,https://drive.google.com/file/d/1Px6La6PYdEy8Ht3nauGODCdaqDd8LTqx/view?usp=sharing
82.pdf,Project Planning and Control,https://drive.google.com/file/d/1QO_0w3ckC3DBu-oKQfiiPTFj5BtNdt6C/view?usp=sharing
83.pdf,MATLAB Programming for Numerical Computation,https://drive.google.com/file/d/1RbRO7UwFEYVq1_7ChDKFImi_KsF8BIrY/edit
84.pdf,Engineering drawing and computer graphics,https://drive.google.com/file/d/1RenWR4QIU2mWFXG9aUGPFBdzYN5TJnvu/view?usp=sharing
85.pdf,Fundamentals of Nuclear Power Generation,https://drive.google.com/file/d/1RvaudylZpEJiEtAVnXlBlJlfJ1k1ITxQ/view?usp=sharing
86.pdf,Soft Skills,https://drive.google.com/file/d/1S2J84Rrfi3RAPJrBqgUpjEeqSVZaIwMu/edit
87.pdf,Product design and Development,https://drive.google.com/file/d/1S93RsgUIriOIjdJo7njkb4S5e9KDZqFT/view?usp=sharing
