PDF Number,Course Name,Link
44.pdf,Privacy and Security in Online Social Media,https://drive.google.com/file/d/1PxEPhjwCFllvEb8Qc0sA1OYB3A7qUnMH/view?usp=sharing
45.pdf,Introductory quantum mechanics,https://drive.google.com/file/d/1S4ydFFFXTWfl8wh-o4vnMfv6X79gdFD-/view?usp=sharing
46.pdf,Transform Calculus and its applications in Differential Equations,https://drive.google.com/file/d/1SNaZ6fOWVrxe8OchZXZ4Q8hZNx2g-HAi/view?usp=sharing
47.pdf,Financial Accounting,https://drive.google.com/file/d/1SR0NJLeXiKFp_bvAHCd56n3Y6N-07QL8/view?usp=sharing
48.pdf,Soft Skills,https://drive.google.com/file/d/1TFrehFdA7yzaOxwDnPyVYAr_CLp8u1dt/edit
49.pdf,Ecology and Environment,https://drive.google.com/file/d/1TNUyw80MDsS3WaWBmdvi9zH6EItsSPs-/view?usp=sharing
50.pdf,Recent Advances in Transmission Insulators,https://drive.google.com/file/d/1UlB3VLM01wzyGOHnURKafsgz_ad4KgQW/view?usp=share_link
51.pdf,Structural Dynamics for Civil Engineers - SDOF systems,https://drive.google.com/file/d/1V91Ek34cnfw6oS0FcqFYhwrnpYiNtsRO/view?usp=sharing
52.pdf,Teaching And Learning in Engineering (TALE),https://drive.google.com/file/d/1VFqMfsB0Ov4NTklFAOkDnV0zZBqNB0ii/view?usp=sharing
53.pdf,Information Security -5 -Secure System Engineering,https://drive.google.com/file/d/1WZwFS9ZSRz_n6XSBGy0WIZ_dJRooJb1h/view?usp=sharing
54.pdf,Advanced Topics in the Science and Technology of Concrete,https://drive.google.com/file/d/1Wz-CLLd5xsTufLKXKIUoGv5HdSf7Joe9/view?usp=sharing
55.pdf,Design Thinking - A Primer,https://drive.google.com/file/d/1YJTxrZg67evmXbgUTzSBIwDP7YUeKIuD/view?usp=sharing
56.pdf,Differential equations for engineers,https://drive.google.com/file/d/1YfcxXipn0u8pPPRGOcz2LgGP_Hnnjnpq/view?usp=sharing
57.pdf,Chemistry - I,https://drive.google.com/file/d/1ZlUNgqtZHkb8Tx_iOvPT_0W1-ffteoNS/view?usp=sharing
58.pdf,Enhancing Soft Skills and Personality,https://drive.google.com/file/d/1_6g61w7KLHo7G6C3XFEhQ4MAQGlbbP4N/view?usp=sharing
59.pdf,Electrical Machines - I,https://drive.google.com/file/d/1_MAC_hh6DuS-MAlMc5iMowiij_FKT5md/view?usp=drive_link
60.pdf,Object Oriented Analysis and Design,https://drive.google.com/file/d/1aYNt5BlDzIYfacUUmX2GvIkYABQ0Xf6q/view?usp=sharing
61.pdf,Effective Engineering Teaching in Practice,https://drive.google.com/file/d/1anmKW4X48rQMD0RGv_Ug_oaniCuJBsNy/view?usp=sharing
62.pdf,Basic principles and calculations in chemical engineering,https://drive.google.com/file/d/1bir4NfV69qIv1c-bQjRLKUikpdK16YBT/view?usp=sharing
63.pdf,Analog Circuits,https://drive.google.com/file/d/1cEU9UG5kiS2fRsMbl-vVn4zQz9hvacVr/view?usp=sharing
64.pdf,Engineering drawing and computer graphics,https://drive.google.com/file/d/1d9PLfhUYXTgp-gw7zJqCns8_wNLUolcH/view?usp=drive_link
65.pdf,Fundamentals of database systems,https://drive.google.com/file/d/1eXrsYUEeQxzdDG4BE9oU740KuN-Z6QQt/view?usp=sharing
66.pdf,Soft Skill Development,https://drive.google.com/file/d/1ehHr8kyd42pt8Hqmvxg9mynDVUXA4im5/view?usp=sharing
67.pdf,Data Science for Engineers,https://drive.google.com/file/d/1gdmXDCJBqMeTYAi7IxcCEH8x60sJx9ui/view?usp=sharing
68.pdf,Principles of Signals and Systems,https://drive.google.com/file/d/1gpJn5ASOkwHghfyvocUqok0KrG4Bl_L7/view?usp=sharing
69.pdf,Manufacturing systems technology part II,https://drive.google.com/file/d/1gpPnvBu8DFebZeO5qjb590HmPOGyfKFo/view?usp=sharing
70.pdf,Non-Conventional Energy Resources,https://drive.google.com/file/d/1hVGXRRG2IFyUcAhdoBl35GPYPR2cD_c4/view?usp=sharing
71.pdf,Fluid Dynamics and Turbomachines,https://drive.google.com/file/d/1iMzrsDxbRm2-41P2JViWMjre59upu46M/view?usp=sharing
72.pdf,Photogeology In Terrain Evaluation (Part 2),https://drive.google.com/file/d/1ike8FShdpiFQiijR4BIwUAXJ3Rh3QIrw/view?usp=sharing
73.pdf,Basic Electronics,https://drive.google.com/file/d/1l8WMvqy1E8R6cVrMVqgQjee8lI2DeySw/view?usp=sharing
74.pdf,Fundamentals of electrical engineering,https://drive.google.com/file/d/1ls5VkkEDmy8dVWZYnV0waaHZeSF4iNvF/view?usp=sharing
75.pdf,Biology for engineers and other non-biologists,https://drive.google.com/file/d/1lxrFUWE2lK7XKF3v70Gvyey3JozrD61k/view?usp=sharing
76.pdf,Applied Thermodynamics for Engineers,https://drive.google.com/file/d/1mqgad8n5meI1nBycjewKsAa8YYKYT5Mz/view?usp=sharing
77.pdf,Emotional Intelligence,https://drive.google.com/file/d/1n19YyO-rO9NUD8up19yYr2V-a282ZEKR/view?usp=sharing
78.pdf,Introduction to Operating Systems,https://drive.google.com/file/d/1nC4funYd8hdvnW1wyonlgjdgH_xz72_g/view?usp=sharing
79.pdf,Globalization and Culture,https://drive.google.com/file/d/1qNWtjFqUbujgXyymyMe7rRY002ZDVjOU/view?usp=sharing
